t,x,y,z,u,v,w
2024/4/1 0:00,-4657.316584,3161.978885,-3722.402663,-5.418449643,-4.67394938,2.810396562
2024/4/1 0:04,-5768.841455,1936.834607,-2917.800376,-3.786308222,-5.472097909,3.852878236
2024/4/1 0:08,-6452.085987,567.9127499,-1895.968078,-1.871664246,-5.864502109,4.609234973
2024/4/1 0:12,-6655.998538,-843.1932586,-732.8807605,0.183123737,-5.821344528,5.022541367
2024/4/1 0:16,-6365.253528,-2191.63279,484.8328996,2.224601599,-5.345541241,5.061569055
2024/4/1 0:20,-5601.498365,-3377.212359,1666.424343,4.100147075,-4.472739787,4.723457737
2024/4/1 0:24,-4421.708037,-4311.96913,2723.90761,5.669921202,-3.268527372,4.03391596
2024/4/1 0:28,-2913.787921,-4926.759391,3578.694574,6.817624875,-1.823072149,3.044997614
2024/4/1 0:32,-1189.856578,-5176.331777,4167.443194,7.458994623,-0.244028513,1.830826216
2024/4/1 0:36,622.2023396,-5042.557808,4446.675709,7.547637621,1.351691903,0.481766898
2024/4/1 0:40,2388.221241,-4535.609156,4395.883282,7.077803269,2.846557652,-0.902325846
2024/4/1 0:44,3977.561591,-3693.108723,4018.938711,6.084420543,4.130703345,-2.219337026
2024/4/1 0:48,5272.610262,-2577.356405,3343.780006,4.640496011,5.109528529,-3.372009468
2024/4/1 0:52,6177.387325,-1270.837705,2420.407566,2.852283499,5.710496974,-4.274875982
2024/4/1 0:56,6624.685774,129.7816386,1317.270683,0.851857692,5.888756578,-4.860642822
2024/4/1 1:00,6581.150747,1520.772794,116.2508393,-1.212495885,5.630704213,-5.08541529
2024/4/1 1:04,6049.867451,2799.046141,-1093.415255,-3.18732698,4.955283455,-4.932225768
2024/4/1 1:08,5070.191719,3869.859392,-2221.817444,-4.925776757,3.912670337,-4.412456864
2024/4/1 1:12,3714.804793,4653.904209,-3185.109772,-6.298780058,2.580469807,-3.564944606
2024/4/1 1:16,2084.227543,5093.191079,-3911.774399,-7.204824057,1.057560409,-2.452877584
2024/4/1 1:20,299.2918879,5155.274741,-4347.896753,-7.577155599,-0.543397828,-1.15882508
2024/4/1 1:24,-1507.804328,4835.575212,-4461.097455,-7.388332398,-2.104267426,0.221430044
2024/4/1 1:28,-3203.198165,4157.676206,-4242.881806,-6.651988021,-3.509888972,1.585823673
2024/4/1 1:32,-4661.159443,3171.617773,-3709.279489,-5.421879113,-4.656269081,2.83327788
2024/4/1 1:36,-5773.342634,1950.303099,-2899.732869,-3.788329163,-5.458052571,3.870933418
2024/4/1 1:40,-6456.887664,584.2107889,-1874.289837,-1.872134218,-5.855114579,4.621074657
2024/4/1 1:44,-6660.724802,-825.2752136,-709.2031205,0.184214869,-5.817319387,5.027257663
2024/4/1 1:48,-6369.537343,-2173.42748,508.7472783,2.227178236,-5.347184816,5.058810356
2024/4/1 1:52,-5605.002992,-3360.072549,1688.792925,4.104023359,-4.479914437,4.713410202
2024/4/1 1:56,-4424.157221,-4297.163373,2743.058286,5.674782525,-3.280680076,4.017317687
2024/4/1 2:00,-2914.990262,-4915.380347,3593.195521,6.823088102,-1.839300921,3.02309134
2024/4/1 2:04,-1189.715906,-5169.218614,4176.211091,7.464659828,-0.263110904,1.80525699
2024/4/1 2:08,623.6802214,-5040.221258,4449.050086,7.553034357,1.33120426,0.454395747
2024/4/1 2:12,2390.919877,-4538.209669,4391.675965,7.082509176,2.82615855,-0.929462858
2024/4/1 2:16,3981.268241,-3700.44855,4008.450207,6.088069636,4.111839145,-2.244214654
2024/4/1 2:20,5277.04224,-2588.899581,3327.782921,4.642866633,5.093590737,-3.392742325
2024/4/1 2:24,6182.219713,-1285.726616,2400.089974,2.853220362,5.698736955,-4.289926739
2024/4/1 2:28,6629.557294,112.6621925,1294.137469,0.851239485,5.882038869,-4.868906796
2024/4/1 2:32,6585.689045,1502.697383,92.01771782,-1.214636904,5.629502242,-5.08625825
2024/4/1 2:36,6053.723858,2781.35498,-1116.946647,-3.19082824,4.959666607,-4.925564649
2024/4/1 2:40,5073.072867,3853.864036,-2242.891704,-4.930355148,3.92233574,-4.398773884
2024/4/1 2:44,3716.488991,4640.792017,-3202.154081,-6.304110667,2.594672183,-3.545251998
2024/4/1 2:48,2084.585385,5083.927102,-3923.513425,-7.210475927,1.075227528,-2.42863719
2024/4/1 2:52,298.2973048,5150.536981,-4353.449713,-7.582701944,-0.523582474,-1.131834637
2024/4/1 2:56,-1510.075231,4835.704072,-4460.040622,-7.39335346,-2.08378357,0.249180315
2024/4/1 3:00,-3206.570482,4162.647798,-4235.279104,-6.656082732,-3.490267518,1.612283857
2024/4/1 3:04,-4665.369078,3181.04923,-3695.679914,-5.424718747,-4.638955199,2.856473607
2024/4/1 3:08,-5778.060714,1963.479394,-2881.135091,-3.789692725,-5.444359307,3.889134423
2024/4/1 3:12,-6461.736222,600.1349684,-1852.060762,-1.871832604,-5.846030073,4.632939138
2024/4/1 3:16,-6665.303637,-807.7849243,-684.9888944,0.186129013,-5.813432562,5.031821401
2024/4/1 3:20,-6373.485724,-2155.662747,533.1375633,2.230476201,-5.348808257,5.055705836
2024/4/1 3:24,-5608.020408,-3343.354629,1711.536876,4.10843399,-4.486964054,4.702889118
2024/4/1 3:28,-4426.013141,-4282.738709,2762.462073,5.67998418,-3.292621042,4.000178331
2024/4/1 3:32,-2915.5426,-4904.32203,3607.816157,6.828681337,-1.855234726,3.000620979
2024/4/1 3:36,-1188.92179,-5162.347558,4184.962677,7.470212358,-0.281863543,1.779130225
2024/4/1 3:40,625.7632745,-5038.051943,4451.289523,7.558160959,1.311031737,0.426579627
2024/4/1 3:44,2394.140459,-4540.901409,4387.236605,7.086793133,2.806065166,-0.956950946
2024/4/1 3:48,3985.383479,-3707.805258,3997.662098,6.091192893,4.093302444,-2.269299473
