t,x,y,z,u,v,w
2024/8/5 0:00,-1492.310445,5681.364529,-3364.472301,-6.890844373,0.184110586,3.370545987
2024/8/5 0:04,-3070.897134,5516.048924,-2441.408139,-6.182662197,-1.553547623,4.274166666
2024/8/5 0:08,-4423.406506,4944.6876,-1338.116139,-5.018356808,-3.17862783,4.863008981
2024/8/5 0:12,-5449.959153,4008.986856,-135.9564374,-3.483120561,-4.570795068,5.092844336
2024/8/5 0:16,-6074.630091,2777.677852,1076.248317,-1.690116063,-5.626647486,4.94611843
2024/8/5 0:20,-6251.184585,1341.469856,2208.829001,0.227952269,-6.267625673,4.433426371
2024/8/5 0:24,-5966.57925,-193.6971851,3177.99378,2.128996593,-6.446199246,3.592818121
2024/8/5 0:28,-5241.90314,-1714.578503,3912.092854,3.872490139,-6.149366022,2.486753634
2024/8/5 0:32,-4130.718339,-3109.042718,4356.916269,5.330010033,-5.399269626,1.197145427
2024/8/5 0:36,-2715.029715,-4274.319466,4479.642494,6.394372811,-4.251295874,-0.180756627
2024/8/5 0:40,-1099.216547,-5124.529285,4271.220758,6.987425789,-2.789900173,-1.545340669
2024/8/5 0:44,597.631398,-5596.945586,3747.017053,7.065453006,-1.122439643,-2.795972594
2024/8/5 0:48,2250.409134,-5656.611151,2945.704352,6.622375863,0.628406691,-3.840222341
2024/8/5 0:52,3737.176616,-5298.990685,1926.473161,5.690579563,2.33335884,-4.600638145
2024/8/5 0:56,4948.21032,-4550.398501,764.6961437,4.33887753,3.866240778,-5.020686143
2024/8/5 1:00,5794.203183,-3466.10407,-453.6606923,2.667544949,5.113488073,-5.069233269
2024/8/5 1:04,6212.953389,-2126.220158,-1638.48137,0.800706389,5.982997478,-4.743045895
2024/8/5 1:08,6173.955111,-629.6669465,-2702.256176,-1.123344916,6.411097752,-4.066901822
2024/8/5 1:12,5680.542089,913.2471368,-3566.591931,-2.96270503,6.367122119,-3.091460386
2024/8/5 1:16,4769.462559,2389.030942,-4167.962175,-4.582552212,5.855269783,-1.889118439
2024/8/5 1:20,3507.996763,3689.317818,-4462.275329,-5.864747766,4.913719291,-0.548430026
2024/8/5 1:24,1988.941549,4718.698409,-4427.993935,-6.716014762,3.61156865,0.832347439
2024/8/5 1:28,323.8488524,5401.571961,-4067.635652,-7.074236427,2.043830222,2.152182323
2024/8/5 1:32,-1365.018845,5687.602389,-3407.588557,-6.912802357,0.324792629,3.314357408
2024/8/5 1:36,-2953.498672,5555.415217,-2496.258086,-6.24264804,-1.419871846,4.233193469
2024/8/5 1:40,-4324.55655,5014.297141,-1400.651705,-5.111989161,-3.061844501,4.840344175
2024/8/5 1:44,-5376.946985,4103.712484,-201.5499869,-3.603465333,-4.479574531,5.090175243
2024/8/5 1:48,-6032.834849,2890.534548,1012.446606,-1.828304097,-5.567712846,4.963628772
2024/8/5 1:52,-6243.685141,1464.132694,2151.536973,0.082114471,-6.245355685,4.469824201
