t,x,y,z,u,v,w
2023/12/4 0:00,-5461.763034,-3748.585677,1326.862584,4.127259726,-4.293220612,4.856811789
2023/12/4 0:04,-4281.20403,-4627.378097,2428.74846,5.649413484,-2.984635325,4.268361279
2023/12/4 0:08,-2783.66118,-5163.564292,3350.296866,6.752430112,-1.456004529,3.363460148
2023/12/4 0:12,-1080.151766,-5317.710585,4023.252675,7.355265894,0.17925132,2.209706352
2023/12/4 0:16,703.2344699,-5078.657447,4397.869365,7.414044415,1.800385145,0.892760149
2023/12/4 0:20,2434.643489,-4464.228844,4446.497229,6.924843043,3.288064252,-0.490032752
2023/12/4 0:24,3986.106872,-3519.862513,4165.553457,5.923738379,4.532889009,-1.836665995
2023/12/4 0:28,5242.868519,-2315.276959,3575.769514,4.484110438,5.443088481,-3.04772217
2023/12/4 0:32,6111.793012,-939.4354021,2720.71918,2.711735566,5.951089595,-4.033420694
2023/12/4 0:36,6528.299343,505.9321628,1663.692423,0.737365143,6.018762815,-4.720289611
2023/12/4 0:40,6461.267753,1913.811346,483.0785461,-1.292611559,5.64056651,-5.05680694
2023/12/4 0:44,5915.498187,3179.878572,-733.4402497,-3.227169377,4.844361559,-5.017598481
2023/12/4 0:48,4931.42947,4210.335229,-1895.470146,-4.922298782,3.689437932,-4.605599538
2023/12/4 0:52,3582.092124,4928.944126,-2916.712644,-6.252142131,2.261883333,-3.851766965
2023/12/4 0:56,1967.574213,5282.687989,-3721.431469,-7.118489139,0.667837766,-2.812548954
2023/12/4 1:00,207.4828249,5245.621776,-4250.055311,-7.45783328,-0.974659412,-1.565325684
2023/12/4 1:04,-1567.958086,4820.681395,-4463.51822,-7.245681839,-2.544473192,-0.202508336
2023/12/4 1:08,-3227.486441,4039.365591,-4346.060334,-6.497868143,-3.926114081,1.175260341
2023/12/4 1:12,-4648.378453,2959.396782,-3906.34969,-5.269288763,-5.017828605,2.466276212
2023/12/4 1:16,-5725.422658,1660.535576,-3176.867464,-3.650152272,-5.738852195,3.574986916
2023/12/4 1:20,-6378.693969,238.7872071,-2211.588361,-1.759744417,-6.035438484,4.418945843
2023/12/4 1:24,-6559.563905,-1200.635247,-1082.062633,0.262022611,-5.885147026,4.9351078
2023/12/4 1:28,-6254.424987,-2551.107357,127.8663008,2.2650412,-5.298755896,5.08472235
2023/12/4 1:32,-5485.812208,-3712.550852,1328.295205,4.100144451,-4.319766774,4.856443685
2023/12/4 1:36,-4310.773561,-4598.965148,2430.034142,5.630804585,-3.021203133,4.267513439
2023/12/4 1:40,-2816.532676,-5144.859475,3351.326782,6.743683017,-1.499819784,3.362180353
2023/12/4 1:44,-1113.876615,-5310.068111,4023.930451,7.356933493,0.131446931,2.208073636
2023/12/4 1:48,671.150916,-5082.618365,4398.126377,7.425969652,1.752088691,0.890909334
2023/12/4 1:52,2406.571882,-4479.482433,4446.29751,6.946137608,3.24284068,-0.491965954
2023/12/4 1:56,3964.114535,-3545.265881,4164.894599,5.95278769,4.494040545,-1.838528894
2023/12/4 2:00,5228.572273,-2348.951825,3574.690666,4.518805206,5.413438479,-3.04932905
2023/12/4 2:04,6106.250333,-978.891666,2719.302225,2.749537889,5.932864732,-4.034610046
2023/12/4 2:08,6531.926668,463.6209245,1662.05165,0.775506438,6.013352053,-4.720953963
2023/12/4 2:12,6473.806693,1871.791597,481.347231,-1.256944649,5.648395279,-5.056892274
2023/12/4 2:16,5936.034635,3141.281016,-735.1234959,-3.196610592,4.864875506,-5.01711963
2023/12/4 2:20,4958.452998,4178.037105,-1896.97799,-4.899136391,3.72107862,-4.604631006
2023/12/4 2:24,3613.613675,4905.344513,-2917.93791,-6.23804501,2.302287022,-3.850400822
2023/12/4 2:28,2001.281371,5269.54783,-3722.293622,-7.114490198,0.714065338,-2.81091346
2023/12/4 2:32,240.8931817,5243.937558,-4250.505888,-7.464300656,-0.926026154,-1.563547433
2023/12/4 2:36,-1537.316309,4830.592164,-4463.535264,-7.262140136,-2.497081853,-0.200696276
2023/12/4 2:40,-3201.88032,4060.147912,-4345.651098,-6.523116488,-3.883474948,1.176986111
2023/12/4 2:44,-4629.706609,2989.519666,-3905.546594,-5.301464692,-4.983121544,2.46781566
2023/12/4 2:48,-5715.066626,1697.768379,-3175.727625,-3.686837969,-5.714682236,3.576237241
2023/12/4 2:52,-6377.410271,280.3674765,-2210.190323,-1.798176462,-6.02360126,4.419837276
2023/12/4 2:56,-6567.423265,-1157.784207,-1080.504688,0.22472329,-5.886444586,4.935523244
2023/12/4 3:00,-6270.836745,-2510.143681,129.4575317,2.231493378,-5.31310899,5.084594059
2023/12/4 3:04,-5509.572523,-3676.509658,1329.799288,4.072841916,-4.346179139,4.855853246
