t,x,y,z,u,v,w
2024/2/5 0:00,572.6246147,-5064.46507,4433.7313,7.647464773,0.277266393,-0.664675096
2024/2/5 0:04,2364.198415,-4811.638967,4111.909146,7.189705953,1.816530455,-2.000475876
2024/2/5 0:08,3981.072816,-4203.283344,3485.380975,6.200617422,3.221708127,-3.188158979
2024/2/5 0:12,5303.708637,-3284.278828,2600.513721,4.752845649,4.389215672,-4.139905502
2024/2/5 0:16,6234.202881,-2122.453773,1522.819798,2.953022695,5.232597155,-4.784995705
2024/2/5 0:20,6703.600312,-803.6558195,332.1687435,0.934267431,5.689148386,-5.075307538
2024/2/5 0:24,6677.099821,574.5869568,-883.1304092,-1.153702676,5.724877111,-4.9891036
2024/2/5 0:28,6156.701677,1910.328565,-2032.923618,-3.155916101,5.3372093,-4.532862259
2024/2/5 0:32,5181.033696,3104.814477,-3031.963754,-4.924056031,4.555111001,-3.740701922
2024/2/5 0:36,3822.398949,4069.811687,-3806.253102,-6.327564984,3.436710277,-2.671628017
2024/2/5 0:40,2181.324918,4734.097859,-4298.494069,-7.263204435,2.064705625,-1.404893514
2024/2/5 0:44,379.0957185,5048.633428,-4472.250245,-7.662218303,0.540115229,-0.034020639
2024/2/5 0:48,-1451.13296,4990.107081,-4314.581708,-7.495035141,-1.024954531,1.339873484
2024/2/5 0:52,-3174.055415,4562.641621,-3837.000708,-6.773388413,-2.515360269,2.615371539
2024/2/5 0:56,-4662.086274,3797.554819,-3074.679105,-5.549590572,-3.820948033,3.697888812
2024/2/5 1:00,-5804.781752,2751.193504,-2083.97017,-3.913378861,-4.844633802,4.50662605
2024/2/5 1:04,-6517.130918,1500.882464,-938.3306838,-1.985706013,-5.509813921,4.980799946
2024/2/5 1:08,-6746.050176,139.2484668,277.1062795,0.089974143,-5.766471231,5.084581073
2024/2/5 1:12,-6474.490639,-1232.714805,1471.931594,2.158822095,-5.595355989,4.810119312
2024/2/5 1:16,-5722.740865,-2513.255517,2557.289343,4.066523562,-5.009457609,4.178138445
2024/2/5 1:20,-4546.850528,-3607.534134,3452.587745,5.671369398,-4.052960459,3.236286923
2024/2/5 1:24,-3034.271509,-4434.695089,4091.513751,6.854945718,-2.797421654,2.055097075
2024/2/5 1:28,-1297.213625,-4933.799064,4426.893847,7.53059206,-1.336142852,0.722508864
2024/2/5 1:32,535.752715,-5068.1911,4434.085733,7.649352,0.223062409,-0.66286409
2024/2/5 1:36,2329.143931,-4828.074318,4112.678776,7.202858103,1.765489677,-1.998859244
2024/2/5 1:40,3950.429097,-4231.207555,3486.502102,6.223992115,3.177590419,-3.186857912
2024/2/5 1:44,5279.73771,-3321.632243,2601.902141,4.784740384,4.355241059,-4.138991318
2024/2/5 1:48,6218.682322,-2166.482633,1524.373258,2.991109618,5.211295724,-4.784543683
2024/2/5 1:52,6697.685181,-851.1053657,333.7727717,0.97573054,5.68212385,-5.075340631
2024/2/5 1:56,6681.23491,527.2288919,-881.5934639,-1.111937834,5.732657762,-4.989626414
2024/2/5 2:00,6170.585561,1866.565883,-2031.567207,-3.11694341,5.359199943,-4.53383501
2024/2/5 2:04,5203.64656,3067.881463,-3030.889149,-4.890738631,4.589683838,-3.742067183
2024/2/5 2:08,3852.076476,4042.439553,-3805.544232,-6.302376932,3.481316515,-2.67328979
2024/2/5 2:12,2215.878968,4718.311765,-4298.206986,-7.24800607,2.116051606,-1.406725861
2024/2/5 2:16,415.9770211,5045.604639,-4472.411632,-7.658155163,0.594419689,-0.035902432
2024/2/5 2:20,-1414.655252,5000.061079,-4315.182439,-7.50242958,-0.971745517,1.338127926
2024/2/5 2:24,-3140.675087,4584.841049,-3837.990067,-6.791649116,-2.467146726,2.61389056
2024/2/5 2:28,-4634.270414,3830.363739,-3075.983513,-5.577414095,-3.781310371,3.696761171
2024/2/5 2:32,-5784.591593,2792.1819,-2085.494168,-3.948710414,-4.816536699,4.50593933
2024/2/5 2:36,-6506.063082,1547.009191,-939.9583124,-2.025919671,-5.495360968,4.980632519
2024/2/5 2:40,-6744.917091,187.086362,275.5034609,0.047923522,-5.766745387,5.084943513
2024/2/5 2:44,-6483.35795,-1186.715787,1470.473053,2.118049235,-5.610306473,4.810947288
2024/2/5 2:48,-5740.937607,-2472.505967,2556.079332,4.030045508,-5.037979741,4.179365728
2024/2/5 2:52,-4573.010217,-3575.051551,3451.707345,5.641893858,-4.092896316,3.237790332
2024/2/5 2:56,-3066.444355,-4412.87319,4091.017548,6.834614218,-2.845767089,2.056773976
2024/2/5 3:00,-1333.013656,-4924.233277,4426.808084,7.520875891,-1.3892974,0.72422471
2024/2/5 3:04,498.9665971,-5071.57227,4434.405327,7.650898801,0.168975814,-0.661207346
2024/2/5 3:08,2294.082479,-4844.153537,4113.381984,7.21561102,1.714422266,-1.997338289
2024/2/5 3:12,3919.692206,-4258.791473,3487.538875,6.247040982,3.133393081,-3.185625491
2024/2/5 3:16,5255.597201,-3358.664187,2603.189197,4.816310936,4.321185802,-4.138150224
2024/2/5 3:20,6202.912473,-2210.215592,1525.810378,3.028865198,5.189851565,-4.784141263
2024/2/5 3:24,6691.444787,-898.3047947,335.2500361,1.01689555,5.674857708,-5.075409672
2024/2/5 3:28,6684.981866,480.0508722,-880.1891937,-1.070389921,5.740102417,-4.990165701
2024/2/5 3:32,6184.039538,1822.895134,-2030.34636,-3.078103589,5.380796352,-4.534808508
2024/2/5 3:36,5225.808408,3030.941344,-3029.94398,-4.857459697,4.623829183,-3.743374365
2024/2/5 3:40,3881.308445,4014.956298,-3804.943108,-6.277101955,3.525490154,-2.674832811
2024/2/5 3:44,2250.023144,4702.313773,-4297.99357,-7.232600325,2.166995576,-1.408393415
2024/2/5 3:48,452.5126146,5042.272745,-4472.601315,-7.653755668,0.648372758,-0.037573299
2024/2/5 3:52,-1378.426136,5009.641798,-4315.761956,-7.509376019,-0.918762552,1.336567851
2024/2/5 3:56,-3107.435473,4606.622657,-3838.917638,-6.809457217,-2.419098519,2.612579673
2024/2/5 4:00,-4606.476847,3862.723848,-3077.181042,-5.604702519,-3.741741973,3.695831133
2024/2/5 4:04,-5764.28945,2832.722153,-2086.865319,-3.983465099,-4.788363733,4.505427744
