t,x,y,z,u,v,w
2024/1/8 0:00,5077.567965,2849.88043,3415.844962,-4.953035403,4.884748335,3.276843609
2024/1/8 0:04,3715.368492,3902.074003,4065.551079,-6.327912028,3.829033771,2.103655256
2024/1/8 0:08,2077.809105,4665.093882,4413.096739,-7.2334782,2.489981558,0.774562819
2024/1/8 0:12,286.2936084,5082.50152,4432.755895,-7.602943284,0.966839242,-0.611702558
2024/1/8 0:16,-1526.436002,5123.458764,4123.146524,-7.409212426,-0.62761376,-1.952256159
2024/1/8 0:20,-3226.12468,4784.987155,3507.311884,-6.666807878,-2.175424093,-3.147680332
2024/1/8 0:24,-4686.918287,4092.186175,2631.014629,-5.430823413,-3.561991834,-4.109243661
2024/1/8 0:28,-5800.699167,3096.404152,1559.36058,-3.793089868,-4.684552616,-4.765501742
2024/1/8 0:32,-6485.156587,1871.44608,371.961709,-1.875505698,-5.459928324,-5.067808051
2024/1/8 0:36,-6689.948005,508.0618331,-843.0359159,0.179178051,-5.831026262,-4.994163145
2024/1/8 0:40,-6400.389781,-892.8772441,-1995.580234,2.218445295,-5.771091817,-4.550739536
2024/1/8 0:44,-5638.418377,-2227.928314,-3000.436173,4.09160636,-5.285537974,-3.771211512
2024/1/8 0:48,-4460.771654,-3398.75047,-3783.486544,5.661131435,-4.411118827,-2.713914557
2024/1/8 0:52,-2954.607705,-4319.287721,-4287.122114,6.812539998,-3.212753308,-1.457173823
2024/1/8 0:56,-1230.989532,-4921.951753,-4474.344538,7.46220399,-1.77844651,-0.093366094
2024/1/8 1:00,583.2164804,-5162.421294,-4331.359431,7.562768752,-0.212949741,1.277647667
2024/1/8 1:04,2354.471401,-5022.808798,-3868.55407,7.106328528,1.369477744,2.555373756
2024/1/8 1:08,3952.172978,-4513.011708,-3119.808665,6.125177354,2.852871182,3.645676798
2024/1/8 1:12,5258.157597,-3670.153492,-2140.159289,4.690182463,4.127717459,4.467504478
2024/1/8 1:16,6175.469159,-2556.042079,-1001.887757,2.906198003,5.0991144,4.959130639
2024/1/8 1:20,6635.694951,-1252.768571,210.7321529,0.904822499,5.694073232,5.083039613
2024/1/8 1:24,6604.276313,143.3043476,1407.675282,-1.165211839,5.867491571,4.829213284
