t,x,y,z,u,v,w
2024/7/1 0:00,-6265.159633,1959.814994,1603.347846,-2.880639077,-5.307468229,-4.749825069
2024/7/1 0:04,-6716.086346,629.2406057,418.017288,-0.853737421,-5.711743896,-5.066363784
2024/7/1 0:08,-6669.915108,-747.9141992,-798.3436977,1.235987998,-5.693239417,-5.006816679
2024/7/1 0:12,-6130.224756,-2069.740145,-1955.468647,3.233302835,-5.253613849,-4.575875895
2024/7/1 0:16,-5137.205555,-3238.527326,-2967.580244,4.990290428,-4.425931123,-3.805981455
2024/7/1 0:20,-3764.550044,-4168.010127,-3759.769063,6.377398939,-3.271847115,-2.754652929
2024/7/1 0:24,-2113.878907,-4789.694583,-4273.505737,7.292871515,-1.876846924,-1.499965424
2024/7/1 0:28,-307.1554904,-5057.810373,-4470.869071,7.66985516,-0.343598812,-0.134502848
2024/7/1 0:32,1522.242494,-4952.558424,-4337.24351,7.480614247,1.215374609,1.241225576
2024/7/1 0:36,3239.208458,-4481.550925,-3882.384906,6.738585312,2.685548206,2.525864226
2024/7/1 0:40,4716.740133,-3679.308765,-3139.752266,5.497510931,3.958517932,3.624395472
2024/7/1 0:44,5845.27034,-2604.856224,-2164.164865,3.848175524,4.939779017,4.454967093
2024/7/1 0:48,6540.870882,-1337.495406,-1027.855352,1.912173689,5.555940583,4.955269081
2024/7/1 0:52,6751.647174,28.98713802,184.8395024,-0.166778777,5.760542363,5.087446023
2024/7/1 0:56,6461.777494,1393.309605,1383.779485,-2.233759421,5.538035069,4.841343628
2024/7/1 1:00,5692.757529,2654.32059,2479.820019,-4.134732058,4.905021543,4.235345102
2024/7/1 1:04,4501.759122,3718.59637,3391.525583,-5.728335196,3.908871327,3.314891152
2024/7/1 1:08,2977.263547,4507.421585,4051.274491,-6.896686018,2.623949414,2.148866687
2024/7/1 1:12,1232.341629,4962.579598,4410.247414,-7.553913096,1.145595683,0.824052558
2024/7/1 1:16,-603.7721813,5050.56133,4441.964574,-7.651997731,-0.416887493,-0.561313085
2024/7/1 1:20,-2395.226996,4764.966548,4144.174781,-7.184093275,-1.948288763,-1.904813809
2024/7/1 1:24,-4009.513405,4126.92557,3538.972594,-6.18471047,-3.335749788,-3.107172858
2024/7/1 1:28,-5327.163273,3183.570559,2671.194852,-4.727415108,-4.476762122,-4.079303265
2024/7/1 1:32,-6250.580463,2004.629017,1605.171181,-2.919852359,-5.28672977,-4.748889344
2024/7/1 1:36,-6711.345763,677.3179109,419.994908,-0.896008578,-5.70545878,-5.066024486
2024/7/1 1:40,-6675.375403,-700.1230876,-796.3607125,1.193784789,-5.701900015,-5.007112804
