t,x,y,z,u,v,w
2024/6/3 0:00,6626.07726,-1342.62006,58.05768478,1.191011996,5.628347749,-5.091634393
2024/6/3 0:04,6663.488725,41.13443616,-1150.951867,-0.880917899,5.831355733,-4.920758896
2024/6/3 0:08,6208.611586,1421.879675,-2274.693435,-2.885863417,5.603564395,-4.385631257
2024/6/3 0:12,5295.530203,2697.71906,-3230.087251,-4.675671582,4.962722841,-3.526712707
2024/6/3 0:16,3992.07867,3774.724233,-3946.697883,-6.118985193,3.956983286,-2.408196583
2024/6/3 0:20,2394.645476,4573.786,-4371.847239,-7.110576452,2.660876111,-1.11291725
2024/6/3 0:24,620.9945143,5036.295535,-4474.363147,-7.578532487,1.169622265,0.263854256
2024/6/3 0:28,-1198.335154,5128.301497,-4246.75767,-7.488901114,-0.407718542,1.621170771
2024/6/3 0:32,-2929.465249,4842.930548,-3705.742952,-6.847954286,-1.955868862,2.859495429
2024/6/3 0:36,-4444.845284,4200.927916,-2891.054534,-5.701906772,-3.361304964,3.887638516
2024/6/3 0:40,-5632.552944,3249.262793,-1862.647899,-4.134079825,-4.520344951,4.629332102
2024/6/3 0:44,-6404.593797,2057.832244,-696.404678,-2.259422541,-5.346829638,5.029007876
2024/6/3 0:48,-6703.566633,714.415582,521.4151357,-0.216339217,-5.778910503,5.056357212
2024/6/3 0:52,-6507.07535,-681.7988139,1700.581569,1.843699644,-5.78398851,4.70884164
2024/6/3 0:56,-5829.509662,-2027.601141,2753.654676,3.767612345,-5.361426896,4.01215216
2024/6/3 1:00,-4720.976433,-3223.506682,3602.571067,5.412787728,-4.54263368,3.018153342
2024/6/3 1:04,-3263.478558,-4181.153554,4184.442389,6.657624956,-3.388269819,1.800633732
2024/6/3 1:08,-1564.790159,-4829.805221,4456.186139,7.410265126,-1.983642101,0.449828549
2024/6/3 1:12,249.5300378,-5121.546663,4397.685556,7.615267622,-0.432425382,-0.934327927
2024/6/3 1:16,2045.399433,-5034.780663,4013.241344,7.257423439,1.151061679,-2.249494418
2024/6/3 1:20,3690.050688,-4575.821418,3331.271547,6.36287434,2.649947703,-3.398281523
2024/6/3 1:24,5061.811502,-3778.487344,2402.250671,4.997429315,3.953290978,-4.295383071
2024/6/3 1:28,6059.157118,-2701.680107,1295.033368,3.262174057,4.964371808,-4.873957681
2024/6/3 1:32,6608.337205,-1425.050393,91.75070459,1.286047519,5.608116223,-5.090950183
2024/6/3 1:36,6668.930761,-43.05446599,-1118.35098,-0.783970649,5.837032046,-4.930498595
2024/6/3 1:40,6236.827133,1342.141482,-2245.616023,-2.794208749,5.634740364,-4.405060739
2024/6/3 1:44,5344.426642,2628.308356,-3206.69517,-4.596048331,5.017071805,-3.554362007
2024/6/3 1:48,4058.048814,3720.752305,-3930.727372,-6.05719496,4.030500598,-2.442014873
2024/6/3 1:52,2472.837542,4539.23297,-4364.491185,-7.071145088,2.748187155,-1.150441745
2024/6/3 1:56,705.6599815,5023.721727,-4476.18447,-7.564358367,1.264351577,0.225367123
