t,x,y,z,u,v,w
2024/3/4 0:00,-6726.714614,-627.2054398,45.44293779,0.489661598,-5.735400264,-5.092336437
2024/3/4 0:04,-6361.532923,-1963.44155,-1163.23899,2.534156565,-5.33075515,-4.917250934
2024/3/4 0:08,-5525.586887,-3154.401734,-2285.614873,4.388334039,-4.532511764,-4.377793981
2024/3/4 0:12,-4281.352123,-4112.31269,-3238.654446,5.915614803,-3.400903633,-3.515065474
2024/3/4 0:16,-2721.249508,-4766.865301,-3952.109317,7.004525504,-2.020259846,-2.39374636
2024/3/4 0:20,-960.6451146,-5070.2364,-4373.581913,7.576390207,-0.492439236,-1.096950676
2024/3/4 0:24,870.6776608,-5000.407069,-4472.218281,7.590353955,1.070674149,0.2800055
2024/3/4 0:28,2637.931706,-4562.626798,-4240.830433,7.045746246,2.55505098,1.636369779
2024/3/4 0:32,4210.996536,-3788.987977,-3696.373001,5.981902112,3.852298231,2.872855446
2024/3/4 0:36,5473.768257,-2736.177078,-2878.774872,4.475707429,4.86705318,3.898400704
2024/3/4 0:40,6332.650053,-1481.502682,-1848.171883,2.636792486,5.523916035,4.636745492
2024/3/4 0:44,6723.570716,-117.3811097,-680.6310581,0.600180016,5.773248095,5.032274146
2024/3/4 0:48,6616.961213,1255.4006,537.3932286,-1.48347247,5.595452753,5.05465267
2024/3/4 0:52,6020.159799,2535.162318,1715.471319,-3.459177966,5.002789247,4.701353416
2024/3/4 0:56,4977.037421,3626.956967,2765.984492,-5.179503693,4.038786108,3.998211854
2024/3/4 1:00,3564.774441,4449.732479,3610.744317,-6.516097014,2.774946235,2.997461835
2024/3/4 1:04,1888.066414,4942.412303,4186.87484,-7.369452719,1.305128645,1.773621651
2024/3/4 1:08,71.28511176,5068.423814,4451.494358,-7.676088221,-0.261578113,0.417758771
2024/3/4 1:12,-1750.783735,4818.403518,4384.89897,-7.413233086,-1.808976977,-0.969273471
2024/3/4 1:16,-3442.948883,4210.861917,3992.015561,-6.600275422,-3.222368789,-2.28433074
