t,x,y,z,u,v,w
2024/5/6 0:00,5491.924916,-3660.456863,-1442.336368,4.14410527,4.324722649,4.814617254
2024/5/6 0:04,6270.720115,-2499.748296,-247.5807303,2.305271616,5.28777248,5.079577722
2024/5/6 0:08,6584.683143,-1153.73554,965.5749907,0.294730294,5.859196317,4.966932004
2024/5/6 0:12,6410.440425,277.8239096,2106.925719,-1.737642458,5.996203822,4.484966526
2024/5/6 0:16,5760.999641,1688.79619,3091.637883,-3.640533829,5.688752646,3.669824582
2024/5/6 0:20,4684.697847,2974.643439,3846.614747,-5.272707667,4.960075736,2.582520149
2024/5/6 0:24,3261.477418,4040.217048,4315.920043,-6.513646729,3.864602871,1.30408458
2024/5/6 0:28,1596.843387,4806.749326,4464.853471,-7.272079992,2.483535201,-0.070644941
2024/5/6 0:32,-185.9568488,5217.590034,4282.445661,-7.492291058,0.918869134,-1.439949062
2024/5/6 0:36,-1954.992412,5242.337375,3782.234927,-7.158067851,-0.713989953,-2.702549621
2024/5/6 0:40,-3579.325322,4879.071317,3001.281299,-6.293861937,-2.294507938,-3.764897721
2024/5/6 0:44,-4938.642598,4154.556893,1997.476696,-4.963287688,-3.70564041,-4.548024336
2024/5/6 0:48,-5932.201049,3122.354039,845.3120428,-3.264861311,-4.842575561,-4.99347241
2024/5/6 0:52,-6486.396569,1858.891592,-369.6413853,-1.324803048,-5.620776224,-5.068001288
2024/5/6 0:56,-6560.306919,457.7810026,-1557.152235,0.712513222,-5.982537862,-4.766271761
2024/5/6 1:00,-6148.734044,-977.2116141,-2629.109443,2.695687963,-5.901479305,-4.111151988
2024/5/6 1:04,-5282.488588,-2339.954037,-3506.10797,4.477985332,-5.384313517,-3.151816601
2024/5/6 1:08,-4025.929554,-3529.820557,-4123.314387,5.928259095,-4.469847796,-1.959707713
2024/5/6 1:12,-2472.078174,-4459.048373,-4435.175557,6.940193451,-3.225778213,-0.623044025
2024/5/6 1:16,-735.7293993,-5059.102271,-4418.682252,7.439715259,-1.743632963,0.759676605
2024/5/6 1:20,1054.936744,-5285.616012,-4074.998826,7.389972156,-0.1321108,2.086674876
2024/5/6 1:24,2767.649685,-5121.63012,-3429.401231,6.793976379,1.490428219,3.260000831
2024/5/6 1:28,4275.687104,-4578.926154,-2529.504737,5.69475579,3.004270119,4.192580715
2024/5/6 1:32,5467.224496,-3697.306809,-1441.863593,4.172770295,4.29706872,4.814669422
2024/5/6 1:36,6253.728702,-2541.792438,-247.122699,2.340473907,5.272415481,5.079414066
2024/5/6 1:40,6576.672437,-1197.859466,965.9764002,0.333895158,5.857336968,4.96662848
2024/5/6 1:44,6412.013413,234.9002639,2107.240705,-1.697445853,6.008004206,4.484553114
2024/5/6 1:48,5772.043472,1650.267156,3091.843071,-3.602306487,5.713347727,3.669330173
2024/5/6 1:52,4704.388683,2943.375914,3846.69458,-5.239325031,4.995604634,2.581970745
2024/5/6 1:56,3288.352384,4018.526877,4315.865726,-6.487522832,3.908391888,1.303530882
2024/5/6 2:00,1628.920902,4796.244837,4464.67424,-7.255123325,2.532391519,-0.071121588
2024/5/6 2:04,-151.0471881,5219.062006,4282.165472,-7.485797492,0.969193,-1.440311068
2024/5/6 2:08,-1919.835759,5255.689589,3781.882871,-7.1625135,-0.665921337,-2.702784862
2024/5/6 2:12,-3546.523961,4903.333789,3000.889289,-6.308926002,-2.252219171,-3.764989047
2024/5/6 2:16,-4910.632905,4187.95799,1997.084558,-4.987921788,-3.672252222,-4.547931847
2024/5/6 2:20,-5911.081451,3162.441683,844.9611911,-3.297290974,-4.820594856,-4.993229677
2024/5/6 2:24,-6473.761155,1902.711112,-369.9204439,-1.362638169,-5.611855352,-5.067651889
2024/5/6 2:28,-6557.125448,502.0937556,-1557.337865,0.672056128,-5.987385565,-4.765850803
2024/5/6 2:32,-6155.273677,-935.6945566,-2629.190584,2.655654834,-5.919783719,-4.110705859
2024/5/6 2:36,-5298.280341,-2304.314647,-3506.080945,4.441393323,-5.414668071,-3.151366966
2024/5/6 2:40,-4049.821466,-3502.692608,-4123.185798,5.897761288,-4.50999209,-1.959325147
2024/5/6 2:44,-2502.323889,-4442.445751,-4434.968814,6.918087406,-3.272799504,-0.622772179
2024/5/6 2:48,-770.099509,-5054.261814,-4418.421803,7.427661149,-1.794020267,0.75984857
2024/5/6 2:52,1018.978207,-5292.902309,-4074.710358,7.38887818,-0.182152002,2.086742144
2024/5/6 2:56,2732.761595,-5140.511749,-3429.104925,6.80393396,1.444447477,3.260004609
2024/5/6 3:00,4244.447873,-4608.008156,-2529.215912,5.715022796,2.965780297,4.192510726
2024/5/6 3:04,5441.943324,-3734.430383,-1441.598256,4.201832025,4.26896678,4.814547804
2024/5/6 3:08,6236.26014,-2584.19984,-246.8942486,2.376111655,5.256738678,5.079219553
2024/5/6 3:12,6568.294009,-1242.422234,966.149509,0.373556791,5.855166874,4.96637852
2024/5/6 3:16,6413.347442,191.4694201,2107.355091,-1.656680013,6.019554952,4.484317396
2024/5/6 3:20,5782.989568,1611.180631,3091.902351,-3.56346405,5.73777728,3.66910491
2024/5/6 3:24,4724.139791,2911.530165,3846.701442,-5.20525294,5.031155445,2.581764272
2024/5/6 3:28,3315.443761,3996.294268,4315.823466,-6.460808441,3.952440454,1.303320872
2024/5/6 3:32,1661.340328,4785.276272,4464.580276,-7.237699704,2.581625988,-0.071330329
2024/5/6 3:36,-115.6937225,5220.17339,4282.028943,-7.478928454,1.020010154,-1.440448663
2024/5/6 3:40,-1884.164303,5268.812831,3781.724052,-7.166755368,-0.617263875,-2.702832569
2024/5/6 3:44,-3513.18292,4927.510995,3000.72829,-6.323982827,-2.209334785,-3.764965585
2024/5/6 3:48,-4882.097808,4221.410233,1996.935848,-5.012663507,-3.638323507,-4.547853188
2024/5/6 3:52,-5889.469948,3202.705321,844.8372943,-3.329893247,-4.798111516,-4.99310441
2024/5/6 3:56,-6460.683594,1946.820183,-370.0115354,-1.400709662,-5.602499875,-5.067508281
2024/5/6 4:00,-6553.559449,546.7898055,-1557.393758,0.631364571,-5.991879652,-4.765700083
2024/5/6 4:04,-6161.485581,-893.7140173,-2629.209452,2.615369009,-5.937777257,-4.110551567
2024/5/6 4:08,-5313.813303,-2268.150574,-3506.064122,4.404493817,-5.444854444,-3.151223031
2024/5/6 4:12,-4073.520483,-3475.021231,-4123.132008,5.867040756,-4.550122576,-1.959147949
2024/5/6 4:16,-2532.42627,-4425.299687,-4434.865464,6.895762627,-3.319836863,-0.622546681
2024/5/6 4:20,-804.381767,-5048.892939,-4418.264193,7.415380215,-1.844515933,0.760077876
2024/5/6 4:24,983.0526732,-5299.689718,-4074.494706,7.387538413,-0.232326754,2.086991452
2024/5/6 4:28,2697.842961,-5158.931131,-3428.831091,6.813616626,1.398289805,3.260237691
2024/5/6 4:32,4213.111476,-4636.674918,-2528.887185,5.734991365,2.927076124,4.192733383
2024/5/6 4:36,5416.489112,-3771.201792,-1441.222795,4.230580279,4.240548121,4.814708427
2024/5/6 4:40,6218.55247,-2626.338877,-246.489211,2.411513253,5.240705671,5.079302274
2024/5/6 4:44,6559.619934,-1286.795247,966.5616303,0.412962239,5.852689336,4.96634596
2024/5/6 4:48,6414.321287,148.1495566,2107.741549,-1.61617273,6.030741831,4.484138147
2024/5/6 4:52,5793.523708,1572.110736,3092.232871,-3.524791872,5.761789421,3.668823934
2024/5/6 4:56,4743.445297,2879.593556,3846.954442,-5.171269985,5.066210763,2.581391261
2024/5/6 5:00,3342.096172,3973.84945,4315.98137,-6.43395578,3.996010234,1.302918792
2024/5/6 5:04,1693.367171,4773.996092,4464.64052,-7.220052852,2.630505827,-0.071753681
2024/5/6 5:08,-80.67238773,5220.895766,4281.9819,-7.47176199,1.070526031,-1.440911319
2024/5/6 5:12,-1848.73735,5281.482743,3781.568955,-7.170566686,-0.568829186,-2.703259642
2024/5/6 5:16,-3479.971506,4951.194534,3000.48006,-6.338525857,-2.16656291,-3.765309542
