t,x,y,z,u,v,w
2023/11/15 0:00,-2420.688765,-4544.123817,-4389.030968,6.291183166,-4.283997594,0.962654693
2023/11/15 0:04,-840.3196306,-5392.483902,-3998.919398,6.797242759,-2.741897825,2.26821602
2023/11/15 0:08,801.8801653,-5843.968514,-3313.65423,6.803171423,-0.996977691,3.407084012
2023/11/15 0:12,2384.996781,-5865.005073,-2383.625059,6.307758716,0.823085814,4.295230171
2023/11/15 0:16,3792.239662,-5453.594609,-1277.35192,5.346454482,2.584422727,4.866548805
2023/11/15 0:20,4919.551395,-4639.645518,-76.54182481,3.989360292,4.156671952,5.078014227
2023/11/15 0:24,5683.401927,-3482.930086,1129.923851,2.33638584,5.422950942,4.91328477
2023/11/15 0:28,6027.096329,-2068.739744,2252.605315,0.509855267,6.288848538,4.384112805
2023/11/15 0:32,5925.081627,-501.5726492,3208.213245,-1.354726847,6.689801239,3.529693065
2023/11/15 0:36,5384.851771,1102.690033,3925.85911,-3.119253379,6.596046956,2.413438256
2023/11/15 0:40,4446.330258,2625.402242,4352.297807,-4.653224406,6.014403343,1.118055278
2023/11/15 0:44,3178.89213,3953.906043,4455.853915,-5.843197403,4.987653702,-0.260515308
2023/11/15 0:48,1676.245774,4989.848085,4228.764967,-6.601101484,3.591464783,-1.620190148
2023/11/15 0:52,49.53263662,5656.43427,3687.763623,-6.870596322,1.92876691,-2.860144048
2023/11/15 0:56,-1580.836977,5904.140788,2872.890685,-6.631313705,0.122495731,-3.888179708
2023/11/15 1:00,-3094.087459,5714.465235,1844.584951,-5.900649541,-1.693324203,-4.627591958
2023/11/15 1:04,-4378.095501,5101.417979,679.2268876,-4.732926188,-3.38354199,-5.023130474
2023/11/15 1:08,-5337.836304,4110.529948,-536.588784,-3.215390072,-4.822345718,-5.045505172
2023/11/15 1:12,-5902.525137,2815.410174,-1712.597023,-1.461462598,-5.903089941,-4.693592095
2023/11/15 1:16,-6030.861366,1312.133489,-2761.658611,0.398188763,-6.546363718,-3.994368963
2023/11/15 1:20,-5713.96693,-288.0392939,-3606.273678,2.225800801,-6.705783577,-3.000607265
2023/11/15 1:24,-4975.825308,-1867.006188,-4184.276637,3.886999554,-6.37095708,-1.786450316
2023/11/15 1:28,-3871.2815,-3308.521716,-4453.291232,5.26048494,-5.56754792,-0.441609387
2023/11/15 1:32,-2481.881338,-4506.61237,-4393.686301,6.246309538,-4.354917747,0.935196307
2023/11/15 1:36,-909.9002109,-5373.176061,-4009.918725,6.772645756,-2.821742784,2.243136018
2023/11/15 1:40,729.027654,-5844.314596,-3330.201172,6.800678672,-1.079911275,3.386216667
2023/11/15 1:44,2314.239766,-5885.018662,-2404.517092,6.32761814,0.743132195,4.280116035
2023/11/15 1:48,3728.808909,-5491.84676,-1301.060651,5.387282391,2.513334102,4.858347226
2023/11/15 1:52,4868.153396,-4693.356122,-101.3183518,4.04818708,4.099748342,5.077374299
2023/11/15 1:56,5647.862648,-3548.165601,1105.912304,2.408905799,5.384437117,4.920266709
2023/11/15 2:00,6010.079494,-2140.70055,2231.144568,0.590717735,6.271690929,4.398262724
2023/11/15 2:04,5927.866862,-574.9371577,3190.905169,-1.271607043,6.695327273,3.549922763
2023/11/15 2:08,5407.238538,1033.344627,3913.985293,-3.040036403,6.623795981,2.438215525
2023/11/15 2:12,4486.672113,2565.194906,4346.740109,-4.583748571,6.062346387,1.145589641
2023/11/15 2:16,3234.207069,3907.294019,4457.030574,-5.788692624,5.052292984,-0.232297303
2023/11/15 2:20,1742.424904,4960.275564,4236.579129,-6.565626432,3.667929583,-1.593441324
2023/11/15 2:24,121.6663961,5646.070065,3701.618685,-6.856756748,2.011363592,-2.836871318
2023/11/15 2:28,-1508.093164,5913.721468,2891.738602,-6.640097384,0.205076322,-3.870105579
2023/11/15 2:32,-3026.11622,5743.246302,1867.008939,-5.931384426,-1.616905106,-4.616047471
2023/11/15 2:36,-4319.916368,5147.223629,703.5484894,-4.78327058,-3.318975828,-5.018952267
2023/11/15 2:40,-5293.724854,4169.921926,-512.1784988,-3.281541602,-4.774386045,-5.048939606
2023/11/15 2:44,-5875.701606,2883.955961,-1689.900223,-1.538473506,-5.875224564,-4.704342627
2023/11/15 2:48,-6023.256077,1384.743098,-2742.343317,0.316044053,-6.540558253,-4.01161835
2023/11/15 2:52,-5726.087341,-216.7328395,-3591.752526,2.144577678,-6.722364582,-3.023058856
2023/11/15 2:56,-5006.731941,-1802.249788,-4175.604729,3.81262374,-6.408612129,-1.812441839
2023/11/15 3:00,-3918.671127,-3255.065127,-4451.094431,5.198338151,-5.623477588,-0.469252588
2023/11/15 3:04,-2542.254675,-4468.375214,-4398.122792,6.20092171,-4.425039136,0.907903294
2023/11/15 3:08,-978.8103341,-5352.968098,-4020.661901,6.747336376,-2.900946176,2.218196749
2023/11/15 3:12,656.6584185,-5843.628865,-3346.459164,6.797342113,-1.162382933,3.36548967
2023/11/15 3:16,2243.745711,-5903.909272,-2425.086168,6.346482333,0.663469432,4.265135355
2023/11/15 3:20,3665.387112,-5528.931445,-1324.422932,5.427001362,2.442316171,4.850197078
2023/11/15 3:24,4816.493787,-4745.913616,-125.7479425,4.105880514,4.042633775,5.076693116
2023/11/15 3:28,5611.790648,-3612.324429,1082.22787,2.480301294,5.345472358,4.927117888
2023/11/15 3:32,5992.26823,-2211.732397,2209.963074,0.670561507,6.253733867,4.412144579
2023/11/15 3:36,5929.649671,-647.6030367,3173.805589,-1.189190431,6.699768807,3.569844831
2023/11/15 3:40,5428.493831,964.4212317,3902.245596,-2.961195959,6.650345348,2.462671306
2023/11/15 3:44,4525.831752,2505.11225,4341.230185,-4.514305537,6.10900772,1.172726159
2023/11/15 3:48,3288.386078,3860.49244,4458.158884,-5.733753277,5.115631712,-0.204446571
2023/11/15 3:52,1807.622641,4930.225743,4244.274063,-6.529334838,3.743319448,-1.566923366
2023/11/15 3:56,193.0476824,5635.000879,3715.31273,-6.841832302,2.093155671,-2.81370632
2023/11/15 4:00,-1435.820668,5922.445308,2910.413034,-6.647636312,0.287192766,-3.852029162
2023/11/15 4:04,-2958.307276,5771.105356,1889.271472,-5.960807663,-1.540558878,-4.604412637
2023/11/15 4:08,-4261.588681,5192.138023,727.7374497,-4.832354771,-3.254081614,-5.014631704
2023/11/15 4:12,-5249.182207,4228.544902,-487.8645628,-3.346613055,-4.725750808,-5.0522208
2023/11/15 4:16,-5848.217835,2951.929428,-1667.262573,-1.614674495,-5.846412009,-4.714934624
2023/11/15 4:20,-6014.838884,1457.029075,-2723.04923,0.23434553,-6.533652702,-4.028711774
2023/11/15 4:24,-5737.333627,-145.4814524,-3577.216532,2.063432858,-6.737828147,-3.045365216
2023/11/15 4:28,-5036.784776,-1737.288936,-4166.883257,3.738013179,-6.445232555,-1.838287305
2023/11/15 4:32,-3965.293552,-3201.168747,-4448.812201,5.135709053,-5.678481737,-0.496742201
2023/11/15 4:36,-2602.006207,-4429.491665,-4402.438491,6.154808729,-4.494376086,0.880739646
2023/11/15 4:40,-1047.295217,-5331.94956,-4031.262401,6.721127296,-2.97957622,2.193311
2023/11/15 4:44,584.4832531,-5842.02635,-3362.56995,6.79299266,-1.244557224,3.344744405
2023/11/15 4:48,2173.20257,-5921.850023,-2445.519857,6.364358468,0.583800141,4.250084639
2023/11/15 4:52,3601.685443,-5565.093482,-1347.667696,5.465776294,2.371082976,4.841959241
2023/11/15 4:56,4764.335912,-4797.629009,-150.0891592,4.162719747,3.985055523,5.075857248
2023/11/15 5:00,5575.037715,-3675.779593,1058.590867,2.551036256,5.30583766,4.933789764
2023/11/15 5:04,5973.640673,-2282.235234,2188.784236,0.749926569,6.235001911,4.425827668
2023/11/15 5:08,5930.520265,-719.9408608,3156.653029,-1.107075044,6.703296452,3.589504396
2023/11/15 5:12,5448.799025,895.5911155,3890.389502,-2.882362402,6.675880939,2.486882056
2023/11/15 5:16,4564.068972,2444.8818,4335.553899,-4.444638052,6.154682642,1.199684409
2023/11/15 5:20,3341.722894,3813.313325,4459.080323,-5.678362651,5.178046589,-0.17676854
2023/11/15 5:24,1872.121547,4899.585558,4251.720033,-6.492285611,3.817881124,-1.540555939
2023/11/15 5:28,263.9429194,5623.174502,3728.736923,-6.825931325,2.174401757,-2.790572222
2023/11/15 5:32,-1363.786706,5930.313919,2928.822626,-6.654103838,0.369045953,-3.833874541
2023/11/15 5:36,-2890.477859,5798.080171,1911.299648,-5.989154668,-1.464188727,-4.592603813
2023/11/15 5:40,-4202.991172,5236.208331,751.7453728,-4.880457217,-3.188879551,-5.01004442
2023/11/15 5:44,-5204.151403,4286.427501,-463.6612395,-3.410847501,-4.676565433,-5.055182168
