t,x,y,z,u,v,w
2024/10/7 0:00,68.3284048,-6163.211671,2746.68284,6.317119615,-1.732992728,-4.03023965
2024/10/7 0:04,1563.084123,-6345.067193,1689.15685,6.061491957,0.226989173,-4.727362627
2024/10/7 0:08,2941.744242,-6055.633563,505.7974977,5.355748663,2.16980158,-5.072274737
2024/10/7 0:12,4101.994494,-5316.569719,-715.2369792,4.252895587,3.950442817,-5.039425609
2024/10/7 0:16,4957.928726,-4183.058368,-1883.075674,2.835761009,5.43638272,-4.631881744
2024/10/7 0:20,5446.467077,-2739.550422,-2910.993227,1.210461616,6.517811959,-3.880859642
2024/10/7 0:24,5531.953086,-1093.283385,-3722.887441,-0.502118613,7.115776236,-2.843026192
2024/10/7 0:28,5208.588577,633.8136166,-4258.855296,-2.175587892,7.187430312,-1.595809402
2024/10/7 0:32,4500.658118,2314.134188,-4479.484988,-3.687131243,6.728518798,-0.231476894
2024/10/7 0:36,3460.617319,3823.698935,-4368.620883,-4.92618933,5.773257101,1.14960833
2024/10/7 0:40,2165.216668,5051.101742,-3934.465395,-5.80200677,4.391589981,2.445987119
2024/10/7 0:44,709.9687651,5905.560706,-3208.998511,-6.249925078,2.684473531,3.562147659
2024/10/7 0:48,-797.7232174,6323.58343,-2245.722618,-6.236172549,0.777057388,4.415337603
2024/10/7 0:52,-2246.369619,6273.762402,-1115.848428,-5.760775263,-1.190008103,4.941691646
2024/10/7 0:56,-3528.627694,5759.291021,96.88346758,-4.858105889,-3.070876522,5.101386725
2024/10/7 1:00,-4549.313317,4817.886602,1302.39994,-3.594524957,-4.725479869,4.881830653
2024/10/7 1:04,-5232.571429,3519.122337,2411.024894,-2.063763222,-6.030201614,4.298976748
2024/10/7 1:08,-5527.621197,1959.258257,3340.247732,-0.37965274,-6.887693798,3.396165991
2024/10/7 1:12,-5412.547,254.0181197,4020.92002,1.332616465,-7.234107119,2.240677437
2024/10/7 1:16,-4895.902688,-1470.065549,4402.408047,2.945931008,-7.04376262,0.918534891
2024/10/7 1:20,-4016.02152,-3085.074623,4456.328974,4.340773398,-6.330793476,-0.47203729
2024/10/7 1:24,-2838.140224,-4471.152615,4178.620965,5.413797052,-5.147823291,-1.827805548
2024/10/7 1:28,-1449.604162,-5525.346808,3589.857541,6.085252222,-3.582277117,-3.047963222
2024/10/7 1:32,46.55527193,-6169.267391,2733.771168,6.305015044,-1.750187017,-4.041523507
2024/10/7 1:36,1539.24905,-6354.988058,1674.058196,6.056534289,0.21217192,-4.734191689
2024/10/7 1:40,2917.624459,-6068.7126,489.6454704,5.35835202,2.158467401,-5.074174643
2024/10/7 1:44,4079.394728,-5331.863245,-731.2377301,4.262886752,3.943438059,-5.036274588
2024/10/7 1:48,4938.549669,-4199.455509,-1897.735252,2.852446412,5.434259071,-4.62393111
2024/10/7 1:52,5431.774407,-2755.844476,-2923.226247,1.232573531,6.520795428,-3.868712922
2024/10/7 1:56,5523.049164,-1108.268285,-3731.787707,-0.476290672,7.123618614,-2.827578776
2024/10/7 2:00,5206.144158,621.2355501,-4263.769026,-2.147912875,7.199531509,-1.5782512
2024/10/7 2:04,4504.870662,2304.892489,-4480.060616,-3.659690467,6.744047939,-0.213098473
2024/10/7 2:08,3471.180013,3818.479344,-4364.820042,-4.901037866,5.791037475,1.167472627
2024/10/7 2:12,2181.351815,5050.290964,-3926.570497,-5.781012275,4.410319981,2.462037103
2024/10/7 2:16,730.4844848,5909.21833,-3197.585761,-6.234640275,2.702739524,3.575231805
2024/10/7 2:20,-774.3422835,6331.430899,-2231.628415,-6.227736812,0.793488168,4.424458573
2024/10/7 2:24,-2221.854084,6285.204459,-1100.110414,-5.759802681,-1.176677887,4.946181217
2024/10/7 2:28,-3504.778237,5773.460919,113.1013343,-4.86458876,-3.061590868,5.100862252
2024/10/7 2:32,-4527.876611,4833.740724,1317.892,-3.608039556,-4.720817435,4.876358505
2024/10/7 2:36,-5215.131596,3535.49857,2424.651526,-2.083348139,-6.030546827,4.288998885
2024/10/7 2:40,-5515.47101,1974.948752,3351.008177,-0.403883922,-6.893027162,3.382405498
2024/10/7 2:44,-5406.5996,267.8613494,4028.024227,1.305482697,-7.244092294,2.224157941
2024/10/7 2:48,-4896.608829,-1459.110602,4405.332846,2.917969971,-7.057687457,0.900434663
2024/10/7 2:52,-4023.330526,-3077.826646,4454.853869,4.314044895,-6.347565617,-0.490364009
2024/10/7 2:56,-2851.519194,-4468.151852,4172.861743,5.390261754,-5.166234502,-1.844955087
2024/10/7 3:00,-1468.066689,-5526.828217,3580.252425,6.066694094,-3.60098453,-3.062664838
2024/10/7 3:04,24.37973501,-6175.133707,2721.040352,6.292822989,-1.767787657,-4.052710927
2024/10/7 3:08,1515.005557,-6364.811685,1659.150005,6.051596695,0.196998936,-4.741035493
2024/10/7 3:12,2893.107447,-6081.774291,473.6704262,5.361028652,2.146819531,-5.076168569
2024/10/7 3:16,4056.422354,-5347.207804,-747.0926094,4.27300415,3.936186914,-5.033287769
2024/10/7 3:20,4918.827329,-4215.951884,-1912.294102,2.869237883,5.431971741,-4.616182805
2024/10/7 3:24,5416.761118,-2772.274798,-2935.408548,1.25478029,6.52362889,-3.856781938
2024/10/7 3:28,5513.856233,-1123.418471,-3740.691623,-0.450304195,7.131399117,-2.812353023
2024/10/7 3:32,5203.443072,608.4943009,-4268.728072,-2.120148021,7.211683458,-1.560793484
2024/10/7 3:36,4508.842898,2295.495558,-4480.688409,-3.632179574,6.759591604,-0.194696587
2024/10/7 3:40,3481.519904,3813.109805,-4361.05571,-4.875824773,5.80884197,1.185455023
2024/10/7 3:44,2197.277585,5049.327953,-3918.671575,-5.759955705,4.429003709,2.47829019
2024/10/7 3:48,750.8081634,5912.70723,-3186.117908,-6.219276799,2.720923911,3.588537401
2024/10/7 3:52,-751.1310174,6339.083913,-2217.420496,-6.219170392,0.809785769,4.433837322
2024/10/7 3:56,-2197.46693,6296.423062,-1084.200846,-5.758631014,-1.163442543,4.950891796
2024/10/7 4:00,-3481.011429,5787.388746,129.5415043,-4.870895533,-3.052389332,5.100541388
2024/10/7 4:04,-4506.476526,4849.322648,1333.646183,-3.621326606,-4.716310363,4.870989944
2024/10/7 4:08,-5197.663348,3551.570053,2438.544747,-2.10263407,-6.030985192,4.278963626
2024/10/7 4:12,-5503.217675,1990.323775,3362.008674,-0.427790617,-6.898361006,3.36849163
2024/10/7 4:16,-5400.463371,281.4054868,4035.318164,1.278706623,-7.253910075,2.207377658
2024/10/7 4:20,-4897.05596,-1448.395308,4408.385236,2.890234394,-7.071318266,0.882093414
2024/10/7 4:24,-4030.334645,-3070.748329,4453.44754,4.287489197,-6.36404366,-0.508962329
2024/10/7 4:28,-2864.555801,-4465.241242,4167.095125,5.366850605,-5.184263419,-1.862457946
2024/10/7 4:32,-1486.170716,-5528.298084,3570.552358,6.048142854,-3.619236301,-3.077733176
2024/10/7 4:36,2.551790949,-6180.875943,2708.131732,6.280541283,-1.784916195,-4.064215635
2024/10/7 4:40,1491.080207,-6374.39794,1643.994653,6.046504713,0.182299409,-4.748134989
2024/10/7 4:44,2868.863771,-6094.483741,457.396606,5.363478903,2.135657039,-5.078330384
2024/10/7 4:48,4033.655904,-5362.086134,-763.2713784,4.282783561,3.929382742,-5.030335471
2024/10/7 4:52,4899.219895,-4231.890132,-1927.168322,2.885623837,5.429995287,-4.608335657
2024/10/7 4:56,5401.761722,-2788.089321,-2947.868364,1.276550987,6.526629001,-3.84463335
2024/10/7 5:00,5504.567622,-1137.936014,-3749.806685,-0.424783467,7.13913587,-2.796802199
2024/10/7 5:04,5200.542408,596.3465735,-4273.816798,-2.09276775,7.223578392,-1.543001364
2024/10/7 5:08,4512.530254,2286.617793,-4481.365097,-3.60500626,6.774763696,-0.175934487
2024/10/7 5:12,3491.506519,3808.147803,-4357.249319,-4.850815854,5.826097965,1.203808648
2024/10/7 5:16,2212.82121,5048.634292,-3910.650464,-5.738952885,4.447095109,2.494844481
2024/10/7 5:20,770.7516822,5916.317565,-3174.464585,-6.20383541,2.738476565,3.60205812
2024/10/7 5:24,-728.2658503,6346.71414,-2202.990658,-6.210421198,0.825526556,4.44331127
2024/10/7 5:28,-2173.375891,6307.493106,-1068.056768,-5.75722558,-1.15070014,4.955607192
2024/10/7 5:32,-3457.478509,5801.061396,146.2025973,-4.876925388,-3.043566839,5.100106032
2024/10/7 5:36,-4485.24571,4864.574939,1349.584351,-3.634360831,-4.712052073,4.865435772
2024/10/7 5:40,-5180.309184,3567.26164,2452.5717,-2.121697963,-6.03159937,4.26868465
2024/10/7 5:44,-5491.026226,2005.291229,3373.076224,-0.451483708,-6.90374487,3.354267623
2024/10/7 5:48,-5394.343045,294.5461467,4042.605354,1.252129603,-7.263661453,2.190301678
2024/10/7 5:52,-4897.465619,-1438.048277,4411.356165,2.862713493,-7.084701413,0.863435617
2024/10/7 5:56,-4037.262442,-3063.958538,4451.895654,4.261042608,-6.380138622,-0.527758268
