t,x,y,z,u,v,w
2024/9/2 0:00,-6454.402728,1708.557417,-1058.607157,-0.738894081,-5.836198308,-4.938704733
2024/9/2 0:04,-6390.952028,262.0141284,-2189.969549,1.264060412,-6.143469436,-4.430707374
2024/9/2 0:08,-5855.29704,-1203.899492,-3159.068074,3.171740418,-5.996763544,-3.595035423
2024/9/2 0:12,-4887.426701,-2580.960507,-3894.315662,4.84365045,-5.407746077,-2.494119679
2024/9/2 0:16,-3559.076486,-3767.674032,-4341.515339,6.157305871,-4.420398113,-1.209514469
2024/9/2 0:20,-1968.345666,-4676.640144,-4467.738329,7.01674799,-3.107443123,0.164183893
2024/9/2 0:24,-232.5100204,-5240.844547,-4263.652376,7.359036517,-1.565022103,1.526090347
2024/9/2 0:28,1520.464553,-5418.496747,-3744.189588,7.158551105,0.094019506,2.776071773
2024/9/2 0:32,3161.167726,-5196.129396,-2947.523823,6.429041448,1.747872916,3.821719713
2024/9/2 0:36,4568.204961,-4589.725177,-1932.396119,5.223231684,3.274425924,4.585153529
2024/9/2 0:40,5637.199751,-3643.711254,-773.8856293,3.629428033,4.560234082,5.008990845
2024/9/2 0:44,6288.658973,-2427.826963,442.0965948,1.765434417,5.509201018,5.060980406
2024/9/2 0:48,6474.052518,-1032.01628,1625.213504,-0.230161189,6.05017945,4.736779857
2024/9/2 0:52,6179.554484,440.2917021,2687.512583,-2.208652693,6.142698193,4.06048625
2024/9/2 0:56,5427.077367,1879.972237,3550.065059,-4.022846935,5.780028064,3.082675524
2024/9/2 1:00,4272.552226,3180.387338,4148.872507,-5.538256943,4.989437179,1.876357936
2024/9/2 1:04,2801.653424,4245.30559,4439.58522,-6.642969382,3.829806547,0.531238778
2024/9/2 1:08,1123.379802,4995.99135,4400.736362,-7.255728192,2.38707852,-0.852925947
2024/9/2 1:12,-638.0302345,5376.944843,4035.264326,-7.331496556,0.767796869,-2.173711374
2024/9/2 1:16,-2352.222718,5359.957135,3370.28179,-6.864666955,-0.908535296,-3.333306202
2024/9/2 1:20,-3892.308225,4946.214203,2455.105485,-5.889580321,-2.517936203,-4.24565109
2024/9/2 1:24,-5144.243589,4166.289736,1357.644974,-4.478373115,-3.941025713,-4.842838266
2024/9/2 1:28,-6015.361324,3077.939486,159.3840596,-2.735926856,-5.072131695,-5.080420137
2024/9/2 1:32,-6441.325674,1761.807985,-1050.715338,-0.791944164,-5.827423206,-4.940936819
2024/9/2 1:36,-6390.924291,315.3725559,-2182.896077,1.209048234,-6.151351295,-4.435249829
2024/9/2 1:40,-5868.298524,-1154.380331,-3153.327074,3.118844203,-6.020664555,-3.60152466
2024/9/2 1:44,-4912.479788,-2538.929787,-3890.318613,4.796734182,-5.445858653,-2.502073752
2024/9/2 1:48,-3594.322329,-3736.222028,-4339.54511,6.119804066,-4.469894621,-1.218345579
2024/9/2 1:52,-2011.179131,-4658.074755,-4467.927919,6.991409118,-3.164668506,0.155127522
2024/9/2 1:56,-279.7701372,-5236.522007,-4265.976109,7.347712069,-1.625753668,1.517471928
2024/9/2 2:00,1472.262495,-5428.724442,-3748.466688,7.162082757,0.034249844,2.768508413
2024/9/2 2:04,3115.585032,-5220.139897,-2953.431499,6.447202818,1.693508532,3.81578649
2024/9/2 2:08,4528.605164,-4625.722155,-1939.483912,5.254602627,3.229509958,4.581306732
2024/9/2 2:12,5606.490953,-3689.019712,-781.6220684,3.671699789,4.528034101,5.007458973
2024/9/2 2:16,6269.104037,-2479.088124,434.2818336,1.815538,5.49211098,5.061866648
2024/9/2 2:20,6467.096471,-1085.424261,1617.89741,-0.17592986,6.049494124,4.740028783
2024/9/2 2:24,6185.70498,388.7046722,2681.236963,-2.154340625,6.158459458,4.065850715
2024/9/2 2:28,5445.868032,1834.032867,3545.292755,-3.972480334,5.811032535,3.089762496
2024/9/2 2:32,4302.581474,3143.496329,4145.954937,-5.495539671,5.033371474,1.884637423
2024/9/2 2:36,2840.69162,4220.194196,4438.73914,-6.611082578,3.883414413,0.540097622
2024/9/2 2:40,1168.531164,4984.511552,4402.01589,-7.236977086,2.446366656,-0.844169952
2024/9/2 2:44,-590.1029221,5379.939982,4038.571033,-7.327256697,0.828382056,-2.165675472
