t,x,y,z,u,v,w
2024/4/3 12:00,2440.900257,-5193.185415,-3644.957342,6.282055443,-0.110234904,4.375180529
2024/4/3 12:04,3841.641831,-5030.706281,-2474.938093,5.319291735,1.456446176,5.315625736
2024/4/3 12:08,4962.976008,-4502.381698,-1124.446894,3.967723123,2.919727341,5.869644687
2024/4/3 12:12,5722.821697,-3646.149381,308.1454415,2.32530597,4.172112689,5.995403421
2024/4/3 12:16,6065.426475,-2524.092169,1718.188901,0.512117916,5.121193686,5.682794483
2024/4/3 12:20,5965.617828,-1217.921317,3002.545945,-1.338734238,5.696900385,4.954468744
2024/4/3 12:24,5430.710446,177.0879555,4067.297567,-3.091394289,5.8569993,3.864081769
2024/4/3 12:28,4499.90179,1559.198916,4834.709536,-4.617718541,5.590158919,2.491932386
2024/4/3 12:32,3241.255902,2827.727919,5248.899762,-5.806750248,4.916351825,0.938640777
2024/4/3 12:36,1746.608163,3890.373551,5279.823422,-6.57248674,3.884976104,-0.682419955
2024/4/3 12:40,124.8362804,4669.861244,4925.364651,-6.859707699,2.571094571,-2.253276547
2024/4/3 12:44,-1506.016904,5109.494702,4211.438262,-6.647704471,1.070120083,-3.659682083
2024/4/3 12:48,-3027.258858,5177.259091,3190.125983,-5.951848013,-0.508897701,-4.799111396
2024/4/3 12:52,-4328.167064,4868.194433,1935.95916,-4.822847262,-2.050873617,-5.58822802
2024/4/3 12:56,-5314.109811,4204.84057,540.4944596,-3.343270925,-3.44320327,-5.96938007
2024/4/3 13:00,-5913.522144,3235.614092,-894.4099115,-1.621612793,-4.584200615,-5.914960402
2024/4/3 13:04,-6083.19658,2031.229023,-2264.140177,0.215883194,-5.390978312,-5.429769446
2024/4/3 13:08,-5811.357969,679.3900498,-3469.080608,2.035215772,-5.805660605,-4.550302532
2024/4/3 13:12,-5118.31359,-721.7191417,-4421.87649,3.704683098,-5.799257515,-3.341507944
2024/4/3 13:16,-4054.748929,-2070.605456,-5053.66518,5.104331045,-5.373245745,-1.891526994
2024/4/3 13:20,-2697.89557,-3269.733612,-5318.869911,6.134113767,-4.558853138,-0.305108224
2024/4/3 13:24,-1145.936807,-4232.39806,-5198.31801,6.720407204,-3.414530379,1.303741035
2024/4/3 13:28,488.9265032,-4888.799594,-4700.548004,6.820678309,-2.021951104,2.819371907
2024/4/3 13:32,2088.342764,-5191.01296,-3861.279812,6.426560528,-0.480734702,4.132208786
2024/4/3 13:36,3536.186695,-5116.532099,-2741.037824,5.564980873,1.098104598,5.146367052
2024/4/3 13:40,4726.942389,-4670.108546,-1420.996656,4.297037985,2.599778321,5.786770676
2024/4/3 13:44,5573.511773,-3883.656986,2.776104063,2.714238775,3.914154271,6.005267312
2024/4/3 13:48,6013.792063,-2814.118107,1426.32356,0.93214891,4.944198207,5.784777305
2024/4/3 13:52,6015.458705,-1539.341278,2745.532669,-0.918338543,5.613905344,5.141136229
2024/4/3 13:56,5578.393998,-152.2832919,3863.931055,-2.701450493,5.874137923,4.121704691
2024/4/3 14:00,4734.629056,1245.898207,4699.834517,-4.286737717,5.706096599,2.801551516
2024/4/3 14:04,3545.883801,2553.317175,5192.333008,-5.55876562,5.122501048,1.277596097
2024/4/3 14:08,2098.929741,3674.817772,5305.664933,-6.425433602,4.166290098,-0.338844114
2024/4/3 14:12,499.1983856,4528.840894,5031.70623,-6.82420236,2.907117617,-1.930116962
2024/4/3 14:16,-1136.856585,5053.271249,4390.510275,-6.726294659,1.436424331,-3.380457028
2024/4/3 14:20,-2690.16254,5209.928013,3428.862898,-6.138824019,-0.138959626,-4.584184605
2024/4/3 14:24,-4047.658692,4987.377006,2216.936768,-5.104541662,-1.70428131,-5.453300682
2024/4/3 14:28,-5110.577744,4401.847834,843.2101633,-3.69911523,-3.145229162,-5.924267716
2024/4/3 14:32,-5801.729624,3496.077955,-592.0403659,-2.025552614,-4.356609324,-5.962918853
2024/4/3 14:36,-6071.181166,2336.160014,-1984.145525,-0.206558395,-5.250237279,-5.567088682
2024/4/3 14:40,-5899.872352,1006.60846,-3231.804369,1.625006034,-5.761760563,-4.766756476
2024/4/3 14:44,-5300.826512,-395.9502898,-4244.506135,3.336300646,-5.855127286,-3.621215622
2024/4/3 14:48,-4317.967931,-1769.865716,-4949.021051,4.804201189,-5.524668234,-2.214197232
2024/4/3 14:52,-3022.749915,-3015.768577,-5294.517619,5.92369404,-4.794869743,-0.647498321
2024/4/3 14:56,-1508.948645,-4043.594936,-5256.051704,6.614782611,-3.718282953,0.966199084
2024/4/3 15:00,113.9977615,-4778.897457,-4836.268463,6.827643624,-2.371762059,2.510961398
2024/4/3 15:04,1728.662718,-5168.107897,-4065.256679,6.5459652,-0.851519783,3.875299939
2024/4/3 15:08,3217.912134,-5182.457556,-2998.560853,5.788588059,0.733147589,4.959834023
2024/4/3 15:12,4473.315392,-4820.245576,-1713.390807,4.608902166,2.267292318,5.684548931
2024/4/3 15:16,5403.121597,-4107.215443,-303.1895651,3.091785762,3.63858987,5.995138508
2024/4/3 15:20,5939.17223,-3094.884653,1129.148317,1.347750753,4.746004889,5.867731369
2024/4/3 15:24,6042.099622,-1856.858923,2478.893765,-0.49530547,5.507713536,5.311067329
2024/4/3 15:28,5704.346367,-483.40514,3647.319306,-2.30196087,5.867649745,4.366099751
2024/4/3 15:32,4950.685515,925.303309,4549.066689,-3.939959066,5.799769287,3.10247539
2024/4/3 15:36,3836.260585,2266.606616,5118.391846,-5.289990466,5.309449227,1.61294819
2024/4/3 15:40,2442.437239,3442.854862,5313.89898,-6.254133682,4.432767262,0.006410865
2024/4/3 15:44,870.8084189,4368.482061,5121.473041,-6.762733153,3.233700747,-1.600087045
2024/4/3 15:48,-764.1993896,4976.161755,4555.22926,-6.779083597,1.799344465,-3.089709773
2024/4/3 15:52,-2343.579273,5221.651376,3656.488335,-6.301981272,0.23387153,-4.353921625
2024/4/3 15:56,-3752.359028,5087.049088,2490.832488,-5.366119059,-1.348695382,-5.300344396
2024/4/3 16:00,-4888.007404,4582.171337,1143.360351,-4.039876518,-2.832821924,-5.859755607
2024/4/3 16:04,-5667.995133,3743.887673,-287.5470866,-2.420546033,-4.110056384,-5.99144402
2024/4/3 16:08,-6035.890851,2633.394487,-1697.509487,-0.626896056,-5.087417932,-5.686424064
2024/4/3 16:12,-5965.443099,1331.638247,-2983.871565,1.209951969,-5.69431793,-4.967933219
2024/4/3 16:16,-5462.357493,-66.71335169,-4053.244539,2.956513315,-5.887675288,-3.889392515
2024/4/3 16:20,-4563.655428,-1460.252144,-4828.249914,4.486891229,-5.654634399,-2.529877409
2024/4/3 16:24,-3334.77227,-2748.159078,-5252.958543,5.69152859,-5.012822381,-0.987939591
2024/4/3 16:28,-1864.741411,-3837.346637,-5296.733355,6.484396193,-4.008611562,0.62543111
2024/4/3 16:32,-259.849553,-4648.987524,-4956.313369,6.808523549,-2.713780004,2.194369646
2024/4/3 16:36,1363.828753,-5124.064864,-4256.064541,6.63980438,-1.220742779,3.60580223
2024/4/3 16:40,2888.595061,-5227.638683,-3246.382785,5.988989343,0.363358348,4.757155009
2024/4/3 16:44,4203.536547,-4951.542782,-2000.276479,4.901673999,1.923856399,5.563751642
2024/4/3 16:48,5212.63802,-4315.220165,-608.2582181,3.455769067,3.346755508,5.965388748
2024/4/3 16:52,5841.973278,-3364.534574,828.1743119,1.756363682,4.527317227,5.931422129
2024/4/3 16:56,6045.346136,-2168.533437,2204.032791,-0.072046101,5.378382118,5.463650862
2024/4/3 17:00,5807.811747,-814.3691912,3418.679362,-1.895211158,5.837205166,4.596293507
2024/4/3 17:04,5146.787494,599.1829117,4383.336263,-3.579456638,5.870305264,3.39329105
2024/4/3 17:08,4110.667646,1969.078932,5027.636371,-5.001927625,5.475721675,1.9430944
2024/4/3 17:12,2775.12957,3195.572628,5304.705507,-6.059450866,4.682637012,0.351774658
2024/4/3 17:16,1237.534055,4189.426407,5194.469179,-6.675514591,3.548902294,-1.264724602
2024/4/3 17:20,-390.1444088,4878.337986,4705.054429,-6.805593909,2.156946763,-2.788744356
2024/4/3 17:24,-1989.422383,5212.158129,3872.1874,-6.440272586,0.607856604,-4.109304441
2024/4/3 17:28,-3443.87224,5166.549733,2756.637869,-5.606068396,-0.985613809,-5.129972825
2024/4/3 17:32,-4647.614654,4744.82881,1439.841674,-4.363874387,-2.507185499,-5.776053215
2024/4/3 17:36,-5513.115308,3977.78919,17.95683782,-2.80476517,-3.845610415,-6.000385566
2024/4/3 17:40,-5977.665417,2921.450037,-1405.251038,-1.043182649,-4.903308346,-5.787145678
2024/4/3 17:44,-6007.945622,1652.855985,-2726.105161,0.791963517,-5.603718454,-5.15284336
2024/4/3 17:48,-5602.338227,264.3265895,-3848.64427,2.567101091,-5.896867995,-4.144797399
2024/4/3 17:52,-4790.833198,-1143.369719,-4691.58176,4.15402392,-5.762662823,-2.8371253
2024/4/3 17:56,-3632.624919,-2468.334224,-5194.059225,5.438961463,-5.211728731,-1.324855883
2024/4/3 18:00,-2211.704806,-3614.793878,-5319.846166,6.330171805,-4.284106772,0.28302801
2024/4/3 18:04,-630.8353487,-4499.821767,-5059.796616,6.763796962,-3.046178201,1.871064013
2024/4/3 18:08,995.6745967,-5059.157841,-4432.489496,6.708036043,-1.586275132,3.324969447
2024/4/3 18:12,2549.991035,-5251.81745,-3483.021135,6.165568957,-0.008984534,4.539300669
2024/4/3 18:16,3919.139361,-5063.191624,-2279.98123,5.174111413,1.571745815,5.424962433
2024/4/3 18:20,5003.231356,-4506.343371,-910.6783337,3.804449292,3.040669657,5.916097944
2024/4/3 18:24,5722.90165,-3621.293493,525.1193602,2.155843861,4.289828259,5.975479281
2024/4/3 18:28,6025.34049,-2472.248565,1922.506773,0.348942986,5.226983857,5.597901727
2024/4/3 18:32,5888.341669,-1142.905873,3179.275988,-1.483560357,5.783039399,4.810896177
2024/4/3 18:36,5321.955618,269.7847621,4203.551099,-3.207299357,5.917320972,3.672431373
2024/4/3 18:40,4367.66032,1662.821367,4920.573632,-4.696357241,5.620339528,2.26624981
2024/4/3 18:44,3095.202119,2934.741255,5278.145766,-5.842546288,4.914264682,0.695386789
2024/4/3 18:48,1597.376026,3993.002127,5250.336683,-6.563039511,3.85072304,-0.92564632
2024/4/3 18:52,-16.73936689,4760.617688,4839.267678,-6.805724926,2.506983692,-2.478939125
2024/4/3 18:56,-1629.640254,5181.711277,4074.950669,-6.552978909,0.980657267,-3.851361873
2024/4/3 19:00,-3123.907646,5225.592811,3013.150614,-5.823139596,-0.617228463,-4.942752644
2024/4/3 19:04,-4390.753097,4889.049244,1731.370408,-4.669423997,-2.170114394,-5.673262514
2024/4/3 19:08,-5338.014954,4196.650499,323.2101174,-3.176353581,-3.564488365,-5.98948383
