t,x,y,z,u,v,w
2024/1/31 12:00,110.4733493,-6733.002392,-944.0955892,4.823886816,-0.743114301,5.90110372
2024/1/31 12:04,1250.129708,-6664.451015,489.3303321,4.615262213,1.311147006,5.971009751
2024/1/31 12:08,2298.866487,-6111.215802,1887.059296,4.070817297,3.271087117,5.605387044
2024/1/31 12:12,3180.368113,-5113.401861,3147.117863,3.23018222,4.993216482,4.830807441
2024/1/31 12:16,3830.528139,-3743.629991,4177.60501,2.154796015,6.35177886,3.704067145
2024/1/31 12:20,4202.137019,-2101.622634,4903.442914,0.923112298,7.248050299,2.307633207
2024/1/31 12:24,4268.26647,-306.8363093,5271.80568,-0.375365323,7.617228108,0.743309519
2024/1/31 12:28,4024.147671,1510.243758,5255.885769,-1.646583315,7.432702727,-0.875209996
2024/1/31 12:32,3487.474493,3217.515122,4856.779594,-2.79848524,6.707661264,-2.430439494
2024/1/31 12:36,2697.149255,4690.753914,4103.423972,-3.7474381,5.494223065,-3.809226337
2024/1/31 12:40,1710.532208,5822.603256,3050.58216,-4.42419706,3.880056753,-4.910790439
2024/1/31 12:44,599.350531,6530.457972,1774.968352,-4.779047211,1.982575087,-5.6541833
2024/1/31 12:48,-555.4931813,6762.651426,369.6940653,-4.785806201,-0.059383026,-5.98461107
2024/1/31 12:52,-1669.895613,6502.385144,-1062.589235,-4.444176339,-2.095975153,-5.877943451
2024/1/31 12:56,-2662.808137,5768.980789,-2417.347964,-3.779725244,-3.978013754,-5.342709685
2024/1/31 13:00,-3462.228665,4616.322718,-3595.948289,-2.841746637,-5.568506426,-4.419154036
2024/1/31 13:04,-4010.439031,3128.672494,-4512.886515,-1.699148575,-6.752828311,-3.175663709
2024/1/31 13:08,-4268.075774,1414.306916,-5101.907711,-0.435017865,-7.446580462,-1.703210452
2024/1/31 13:12,-4216.810829,-402.4358749,-5320.620945,0.859514334,-7.600984703,-0.108448093
2024/1/31 13:16,-3860.515905,-2190.073254,-5153.360379,2.091609721,-7.205532571,1.493831872
2024/1/31 13:20,-3224.931725,-3819.261696,-4612.218375,3.172885503,-6.28845231,2.98839732
2024/1/31 13:24,-2355.876144,-5171.929176,-3736.220857,4.025376233,-4.914966495,4.267317897
2024/1/31 13:28,-1316.075884,-6149.717236,-2588.665006,4.586998528,-3.183273043,5.237474826
2024/1/31 13:32,-180.7731835,-6681.178819,-1252.721009,4.816215454,-1.218177863,5.827440852
2024/1/31 13:36,967.6459758,-6727.184461,174.482643,4.695530939,0.83741104,5.993162716
