t,x,y,z,u,v,w
2024/1/1 12:00,3447.695559,-2515.828264,-5292.489699,3.657282928,6.674620743,-0.787516364
2024/1/1 12:04,4190.015022,-842.2218304,-5287.060553,2.491061863,7.187350356,0.832552991
2024/1/1 12:08,4628.876571,892.3649232,-4897.639151,1.143675867,7.179624339,2.393061565
2024/1/1 12:12,4732.204932,2562.236264,-4152.209372,-0.288167164,6.651129966,3.781231885
2024/1/1 12:16,4492.066434,4046.105971,-3104.57078,-1.701155373,5.638797765,4.896004629
2024/1/1 12:20,3925.39908,5235.83854,-1830.63094,-2.992552145,4.214748394,5.655333023
2024/1/1 12:24,3072.988897,6044.417872,-423.0641988,-4.067621425,2.481905333,6.002519242
2024/1/1 12:28,1996.655351,6412.534982,1015.405782,-4.846995668,0.566816364,5.911154934
2024/1/1 12:32,774.7613932,6313.149647,2379.627759,-5.273126239,-1.389925869,5.387592798
2024/1/1 12:36,-503.6120053,5753.549515,3569.884513,-5.314805627,-3.244706394,4.470440468
2024/1/1 12:40,-1745.30071,4774.741885,4499.303382,-4.96937894,-4.861954503,3.227381847
2024/1/1 12:44,-2859.929074,3448.283016,5100.210673,-4.262517808,-6.124189741,1.749665017
2024/1/1 12:48,-3766.475513,1870.915755,5328.976634,-3.245981404,-6.940205798,0.145168234
2024/1/1 12:52,-4399.095479,157.4767611,5169.080489,-1.99369798,-7.251283188,-1.469451689
2024/1/1 12:56,-4711.819759,-1567.411181,4632.225855,-0.596385685,-7.035023043,-2.976992204
2024/1/1 13:00,-4681.850828,-3178.291042,3757.507556,0.844683498,-6.306963252,-4.267762071
2024/1/1 13:04,-4311.26503,-4557.930117,2608.642227,2.224724687,-5.119753385,-5.247511351
2024/1/1 13:08,-3626.95122,-5605.880119,1269.402792,3.443051379,-3.559816486,-5.844444558
2024/1/1 13:12,-2678.710486,-6245.89661,-162.4818779,4.410624924,-1.741209707,-6.014823794
2024/1/1 13:16,-1535.619991,-6431.603811,-1582.529133,5.056896345,0.202814591,-5.746504992
2024/1/1 13:20,-280.9103644,-6149.887598,-2887.256065,5.335209935,2.130129893,-5.05986723
2024/1/1 13:24,994.213935,-5421.721985,-3981.81048,5.226135642,3.90060375,-4.00592471
2024/1/1 13:28,2197.271969,-4300.426526,-4786.848112,4.73843814,5.386433282,-2.662018227
2024/1/1 13:32,3241.178484,-2867.606075,-5244.16074,3.907976156,6.481065241,-1.125818331
2024/1/1 13:36,4050.423999,-1227.160327,-5320.708833,2.794725018,7.106248535,0.491844052
2024/1/1 13:40,4566.369858,502.1374925,-5010.879595,1.478507115,7.216954129,2.074527803
2024/1/1 13:44,4751.397753,2195.020875,-4336.899992,0.053699238,6.804447521,3.507992137
2024/1/1 13:48,4591.66853,3728.59994,-3347.364455,-1.377027666,5.897247882,4.688030253
2024/1/1 13:52,4098.27868,4991.19762,-2113.918058,-2.709790205,4.55984323,5.527976911
2024/1/1 13:56,3306.64588,5890.550551,-726.214681,-3.847054037,2.88861482,5.965415245
2024/1/1 14:00,2274.09464,6360.720187,714.5405758,-4.704980068,1.005291011,5.967194503
2024/1/1 14:04,1075.746565,6367.162779,2103.043346,-5.22012861,-0.951936315,5.532632938
2024/1/1 14:08,-201.0402397,5909.391551,3337.777095,-5.35463904,-2.839343975,4.693731657
2024/1/1 14:12,-1463.185685,5020.958878,4328.574283,-5.098943755,-4.518778815,3.512417342
2024/1/1 14:16,-2618.780093,3766.859532,5003.24525,-4.472236205,-5.868018699,2.075559955
2024/1/1 14:20,-3583.799201,2238.614616,5312.771972,-3.520557016,-6.789498446,0.488165398
2024/1/1 14:24,-4288.139457,547.5267237,5234.754466,-2.313147243,-7.216842806,-1.134274048
2024/1/1 14:28,-4680.623937,-1183.377932,4774.961402,-0.937565124,-7.119305899,-2.673905809
2024/1/1 14:32,-4732.674803,-2828.208504,3966.892398,0.506531627,-6.503881834,-4.018834661
2024/1/1 14:36,-4440.409771,-4267.272537,2869.404102,1.914195814,-5.415017248,-5.070929425
2024/1/1 14:40,-3825.011502,-5395.79675,1562.50927,3.182808725,-3.931880572,-5.753142901
2024/1/1 14:44,-2931.248282,-6131.645394,141.573087,4.219664311,-2.162837091,-6.015436021
2024/1/1 14:48,-1824.231352,-6421.425468,-1289.703463,4.949058869,-0.237506805,-5.838872099
2024/1/1 14:52,-584.5952762,-6244.413771,-2626.981014,5.31816372,1.703237224,-5.237056208
2024/1/1 14:56,697.5024141,-5613.974633,-3772.984861,5.300905547,3.51803838,-4.254838223
2024/1/1 15:00,1929.031517,-4576.377819,-4644.595294,4.899471589,5.075717326,-2.964492557
2024/1/1 15:04,3020.822735,-3207.214209,-5178.763683,4.143552288,6.264493385,-1.459924246
2024/1/1 15:08,3893.898426,-1605.823446,-5336.898017,3.087863811,6.999326045,0.150166285
2024/1/1 15:12,4485.035932,111.8323477,-5107.515643,1.808190273,7.22747863,1.749876393
2024/1/1 15:16,4751.218662,1821.367379,-4507.035908,0.396212978,6.931891341,3.223881837
2024/1/1 15:20,4672.754064,3398.752043,-3578.710064,-1.046466567,6.132677662,4.465204516
2024/1/1 15:24,4254.836458,4729.196015,-2389.692349,-2.415271019,4.886373271,5.382860599
2024/1/1 15:28,3527.372492,5715.544752,-1026.352892,-3.610129473,3.282645977,5.908780681
2024/1/1 15:32,2542.972273,6285.554597,411.9363164,-4.543148613,1.438143074,6.003443646
2024/1/1 15:36,1373.19021,6397.375605,1820.099022,-5.145383771,-0.512055329,5.659207941
2024/1/1 15:40,103.2765916,6042.780501,3095.179459,-5.37245533,-2.42470618,4.901295674
2024/1/1 15:44,-1174.186669,5247.765836,4144.032572,-5.207974461,-4.159704241,3.785657094
2024/1/1 15:48,-2366.148203,4070.512413,4890.192158,-4.664386916,-5.590596961,2.394399871
2024/1/1 15:52,-3385.903298,2596.980469,5279.412019,-3.781751284,-6.613731164,0.829389099
2024/1/1 15:56,-4159.364245,934.5316079,5283.504473,-2.624458973,-7.155407426,-0.795420777
2024/1/1 16:00,-4630.345783,-795.8811356,4902.274565,-1.276412977,-7.17666291,-2.362057517
2024/1/1 16:04,-4764.57979,-2468.40509,4163.512696,0.164688198,-6.675917101,-3.756658491
2024/1/1 16:08,-4552.220688,-3961.358194,3121.024537,1.594237215,-5.689325003,-4.877589699
2024/1/1 16:12,-4008.622756,-5166.061422,1850.795487,2.908100881,-4.288516459,-5.642821074
2024/1/1 16:16,-3173.307581,-5994.825733,445.4967572,4.01029138,-2.575737025,-5.996245602
2024/1/1 16:20,-2107.117619,-6387.45697,-992.3132093,4.820281725,-0.676437741,-5.912150479
2024/1/1 16:24,-887.7209182,-6315.710646,-2357.790287,5.279291696,1.270330652,-5.397306277
2024/1/1 16:28,396.1705189,-5785.274958,-3551.561621,5.354600978,3.122653398,-4.490186406
2024/1/1 16:32,1651.348074,-4835.169849,-4486.986896,5.041609398,4.746396257,-3.257682933
2024/1/1 16:36,2786.883952,-3534.699129,-5096.371655,4.363743628,6.0248165,-1.789746828
2024/1/1 16:40,3720.635928,-1978.279722,-5335.69776,3.370257671,6.866504435,-0.192513255
2024/1/1 16:44,4385.020867,-278.6370164,-5187.630316,2.132519282,7.211120502,1.419027616
2024/1/1 16:48,4731.768288,1441.17316,-4662.727041,0.73920132,7.033410377,2.928763335
2024/1/1 16:52,4735.385722,3056.449437,-3798.755238,-0.709602266,6.345054697,4.227338581
2024/1/1 16:56,4395.113833,4449.730425,-2658.152944,-2.109059552,5.194482221,5.219782792
