t,x,y,z,u,v,w
2024/5/31 12:00,5909.532265,1685.183104,-2899.102565,0.852300337,5.697958726,5.047807094
2024/5/31 12:04,5896.553096,2974.737461,-1596.609581,-0.96006808,4.982563502,5.739890293
2024/5/31 12:08,5454.201793,4047.667666,-177.5405894,-2.703807569,3.90375656,6.013192965
2024/5/31 12:12,4614.48275,4825.704815,1254.49277,-4.251063265,2.54021781,5.847215006
2024/5/31 12:16,3438.54963,5252.150416,2594.867059,-5.488370599,0.991861704,5.254104092
2024/5/31 12:20,2012.166986,5296.073397,3745.72207,-6.325404985,-0.627897831,4.277675778
2024/5/31 12:24,439.3127117,4954.513979,4623.174439,-6.70161143,-2.200861429,2.989786074
2024/5/31 12:28,-1165.506833,4252.571836,5163.396398,-6.590254584,-3.612830093,1.48462414
2024/5/31 12:32,-2685.591826,3241.453291,5327.152583,-5.999826581,-4.761719442,-0.12830892
2024/5/31 12:36,-4010.436438,1994.69807,5102.543926,-4.973108344,-5.56454263,-1.732063713
2024/5/31 12:40,-5043.631033,602.8989582,4505.826762,-3.584114533,-5.963009471,-3.210298119
2024/5/31 12:44,-5709.798617,-832.7610401,3580.298985,-1.93311548,-5.927708786,-4.455344137
2024/5/31 12:48,-5960.11925,-2207.765709,2393.284834,-0.139899184,-5.460522464,-5.375887464
2024/5/31 12:52,-5776.04415,-3421.860978,1031.347165,1.664592804,-4.594953756,-5.903969646
2024/5/31 12:56,-5170.825793,-4386.462511,-406.0025709,3.347992257,-3.394213776,-6.000410979
2024/5/31 13:00,-4188.629264,-5031.281074,-1813.670789,4.786742843,-1.946552637,-5.658211172
2024/5/31 13:04,-2901.244381,-5309.539024,-3088.827097,5.875689717,-0.358364246,-4.903072905
2024/5/31 13:08,-1402.67327,-5201.350958,-4138.530259,6.536018064,1.254109237,-3.791102121
2024/5/31 13:12,197.8978701,-4715.020236,-4886.502587,6.72068191,2.773661034,-2.404113899
2024/5/31 13:16,1784.11403,-3886.247707,-5278.566281,6.417263476,4.090548543,-0.843285152
2024/5/31 13:20,3240.846004,-2775.401307,-5286.405466,5.648226567,5.110096097,0.778329883
2024/5/31 13:24,4462.372697,-1463.13107,-4909.48756,4.469046071,5.758904863,2.343576229
2024/5/31 13:28,5359.892022,-44.63637486,-4175.094371,2.964458708,5.989843404,3.739146182
2024/5/31 13:32,5867.909471,1377.087889,-3136.451357,1.242879809,5.785514656,4.863431941
2024/5/31 13:36,5949.077361,2698.6269,-1869.021285,-0.570908721,5.159924073,5.633897712
2024/5/31 13:40,5597.094362,3823.666347,-465.1375309,-2.344512508,4.157984312,5.993428441
2024/5/31 13:44,4837.361362,4670.136882,972.7139382,-3.947906171,2.852773423,5.915168765
2024/5/31 13:48,3725.176308,5176.344174,2339.488603,-5.263558989,1.339900202,5.404795233
2024/5/31 13:52,2341.640727,5305.521413,3535.383964,-6.195329868,-0.269842556,4.499999596
2024/5/31 13:56,787.6260243,5048.481398,4473.201808,-6.675622213,-1.858883329,3.267415756
2024/5/31 14:00,-823.6993014,4424.18328,5084.697174,-6.670114699,-3.311704755,1.79731474
2024/5/31 14:04,-2375.14358,3478.21516,5325.448812,-6.179703644,-4.523214493,0.196718661
2024/5/31 14:08,-3753.927705,2279.408521,5177.968858,-5.240003433,-5.405909785,-1.418260408
2024/5/31 14:12,-4859.748776,914.877249,4652.922584,-3.918772992,-5.895811458,-2.930494672
2024/5/31 14:16,-5611.984976,-516.1986192,3788.391114,-2.311328135,-5.956965307,-4.229978747
2024/5/31 14:20,-5955.571558,-1909.671159,2647.229379,-0.534156941,-5.584251378,-5.221504346
2024/5/31 14:24,-5865.165029,-3163.978855,1312.625618,1.283088192,-4.804292061,-5.832001375
2024/5/31 14:28,-5347.149434,-4187.621604,-117.9467134,3.007299516,-3.673843129,-6.016252227
2024/5/31 14:32,-4439.278056,-4905.968825,-1539.89492,4.511858064,-2.27588356,-5.760616832
2024/5/31 14:36,-3207.906194,-5266.838099,-2849.313137,5.686638259,-0.713226514,-5.084398995
2024/5/31 14:40,-1742.975256,-5244.2933,-3950.714913,6.446411712,0.89964261,-4.037932898
2024/5/31 14:44,-151.2711919,-4840.400577,-4764.01617,6.736810344,2.445316071,-2.698356056
2024/5/31 14:48,1451.444493,-4084.895548,-5230.268736,6.537767447,3.812012938,-1.163518314
2024/5/31 14:52,2948.815568,-3032.874688,-5315.775832,5.86433031,4.901382968,0.455251824
2024/5/31 14:56,4232.185542,-1760.752256,-5014.397004,4.765194003,5.635091905,2.040981058
2024/5/31 15:00,5208.304723,-360.813274,-4347.951671,3.319350517,5.959989763,3.478965338
2024/5/31 15:04,5806.016291,1065.324862,-3364.72402,1.630897442,5.851959212,4.664662255
2024/5/31 15:08,5981.478924,2413.970462,-2136.113448,-0.177936081,5.318020082,5.511177711
2024/5/31 15:12,5721.523463,3586.880902,-751.580083,-1.97532092,4.396380608,5.955917741
2024/5/31 15:16,5044.796721,4498.510559,687.8452368,-3.629645416,3.15401289,5.965714225
2024/5/31 15:20,4000.508365,5082.379725,2077.003327,-5.019464768,1.68187849,5.539622866
2024/5/31 15:24,2664.816267,5296.046194,3314.439794,-6.043168389,0.087948445,4.709218285
2024/5/31 15:28,1135.106917,5124.165819,4309.910983,-6.626469961,-1.511352014,3.535685194
2024/5/31 15:32,-477.2095279,4579.494344,4990.94829,-6.727452852,-2.999724118,2.105010455
2024/5/31 15:36,-2054.842243,3701.839679,5308.059258,-6.339268784,-4.269372622,0.521479961
2024/5/31 15:40,-3483.10462,2555.090869,5238.215833,-5.490261936,-5.228577742,-1.09999849
2024/5/31 15:44,-4658.12225,1222.58606,4786.44226,-4.241654025,-5.807895277,-2.641881756
2024/5/31 15:48,-5494.2708,-198.8354186,3985.484409,-2.683467669,-5.964941999,-3.992058582
2024/5/31 15:52,-5930.403791,-1605.756141,2893.547512,-0.928508366,-5.687673748,-5.051756771
2024/5/31 15:56,-5934.428449,-2895.658823,1590.196879,0.895338952,-4.995688095,-5.742914368
2024/5/31 16:00,-5505.827124,-3974.460612,170.6035957,2.654515918,-3.939294143,-6.014427168
2024/5/31 16:04,-4675.797706,-4763.502976,-1261.463208,4.21995847,-2.595911135,-5.846231354
2024/5/31 16:08,-3504.987475,-5205.402645,-2601.341912,5.476934084,-1.064293326,-5.251035175
2024/5/31 16:12,-2078.940543,-5268.280803,-3751.276567,6.334025003,0.543198632,-4.273231664
2024/5/31 16:16,-501.6603159,-4947.984535,-4627.604865,6.729698141,2.109355839,-2.985061296
2024/5/31 16:20,1112.092024,-4268.199893,-5166.775636,6.636271111,3.52078394,-1.480768272
2024/5/31 16:24,2645.130926,-3278.569113,-5329.803109,6.061255944,4.675825821,0.13041664
2024/5/31 16:28,3986.223905,-2051.022028,-5104.945536,5.04639922,5.491449737,1.732005623
2024/5/31 16:32,5037.979343,-674.6144361,-4508.492552,3.664643553,5.908754802,3.208227162
2024/5/31 16:36,5723.799351,750.7762542,-3583.643794,2.015385617,5.897041784,4.451901274
2024/5/31 16:40,5993.471325,2121.564711,-2397.522158,0.217852938,5.456367993,5.372071952
