t,x,y,z,u,v,w
2024/3/4 12:00,4353.791643,318.432069,-5212.534463,-2.089135966,7.24636331,-1.297352951
2024/3/4 12:04,3700.839801,2024.992282,-5330.869193,-3.319098295,6.888512099,0.317301645
2024/3/4 12:08,2779.857841,3584.879291,-5062.011308,-4.309209404,6.031371444,1.909730411
2024/3/4 12:12,1657.397799,4884.896211,-4425.201851,-4.987818959,4.735868101,3.364923658
2024/3/4 12:16,414.6793681,5830.36583,-3466.337999,-5.305112138,3.094604116,4.577057149
2024/3/4 12:20,-858.152448,6352.06009,-2254.840642,-5.237048723,1.225855556,5.457153771
2024/3/4 12:24,-2068.511669,6411.422119,-878.7732404,-4.787530354,-0.734560083,5.93986081
2024/3/4 12:28,-3128.149781,6003.633808,561.5020202,-3.988688027,-2.643045404,5.988778912
2024/3/4 12:32,-3959.749677,5158.185782,1960.724246,-2.898924875,-4.359199155,5.599850645
2024/3/4 12:36,-4502.725704,3936.749265,3216.622914,-1.598331647,-5.757016811,4.801849212
2024/3/4 12:40,-4717.700869,2428.528531,4237.544966,-0.182399983,-6.734511221,3.653866618
2024/3/4 12:44,-4589.323816,743.5463761,4949.193109,1.245449606,-7.221187223,2.240441149
2024/3/4 12:48,-4127.241958,-995.518228,5299.95653,2.581577982,-7.182597433,0.664890518
2024/3/4 12:52,-3365.265195,-2662.256629,5264.526704,3.729431274,-6.622221817,-0.958227764
2024/3/4 12:56,-2358.854321,-4135.623037,4845.628669,4.606195369,-5.580974984,-2.511252016
2024/3/4 13:00,-1181.113624,-5308.598463,4073.77454,5.148482837,-4.134147924,-3.881592546
2024/3/4 13:04,82.42967041,-6095.886306,3005.111685,5.316828078,-2.386464595,-4.969518926
2024/3/4 13:08,1339.97499,-6440.149815,1717.427879,5.098763987,-0.46483042,-5.695545115
2024/3/4 13:12,2500.112507,-6316.288864,304.5421985,4.510070106,1.490664435,-6.006446241
2024/3/4 13:16,3478.543237,-5733.371367,-1130.555141,3.593868707,3.337181857,-5.879554405
2024/3/4 13:20,4204.295085,-4733.98137,-2483.315682,2.417375287,4.940069307,-5.324619504
2024/3/4 13:24,4624.913227,-3391.000286,-3655.3504,1.06666337,6.183081429,-4.38284842
2024/3/4 13:28,4710.200292,-1802.131582,-4561.61032,-0.360054908,6.976828566,-3.123422806
2024/3/4 13:32,4454.256763,-82.68787595,-5136.470851,-1.759728336,7.264729981,-1.637994467
2024/3/4 13:36,3875.773635,1642.749495,-5338.33584,-3.031678828,7.026517651,-0.033938273
2024/3/4 13:40,3016.621096,3249.216907,-5152.512335,-4.08451549,6.279219206,1.573213842
2024/3/4 13:44,1938.874197,4620.20346,-4592.241129,-4.842194717,5.07588389,3.067514261
2024/3/4 13:48,720.4785743,5655.953063,-3697.853252,-5.249319952,3.50236271,4.340478574
2024/3/4 13:52,-550.2372552,6280.722885,-2534.041163,-5.275349146,1.671826097,5.298819141
2024/3/4 13:56,-1780.891551,6448.472567,-1185.345072,-4.917362648,-0.282836371,5.871542581
2024/3/4 14:00,-2881.80849,6146.465077,249.9308408,-4.200739643,-2.218718495,6.015721091
2024/3/4 14:04,-3772.666357,5396.407357,1666.929264,-3.177641617,-3.993512894,5.720122445
2024/3/4 14:08,-4388.525442,4252.960049,2962.066328,-1.923225986,-5.476783902,5.006529188
2024/3/4 14:12,-4684.652463,2799.626113,4040.780381,-0.529611006,-6.560125461,3.927795451
2024/3/4 14:16,-4639.752672,1142.465166,4824.505051,0.901258938,-7.16509238,2.563462663
2024/3/4 14:20,-4257.406664,-597.8010847,5256.35648,2.265328441,-7.248613512,1.013485154
2024/3/4 14:24,-3565.663592,-2294.634711,5305.135916,3.463952382,-6.805463428,-0.609354709
2024/3/4 14:28,-2614.910982,-3824.790544,4967.459399,4.410662111,-5.86809713,-2.187385464
2024/3/4 14:32,-1474.233417,-5077.133775,4267.959779,5.037048604,-4.50441432,-3.60618518
2024/3/4 14:36,-226.46131,-5960.629666,3257.528257,5.29764672,-2.813048817,-4.762639435
2024/3/4 14:40,1037.766213,-6410.95859,2009.701762,5.17330212,-0.916718162,-5.572324959
2024/3/4 14:44,2226.565157,-6395.294019,615.3807061,4.672911581,1.046437299,-5.975909316
2024/3/4 14:48,3253.542009,-5914.809402,-823.7997286,3.833090916,2.933027282,-5.943894105
2024/3/4 14:52,4044.169816,-5004.62057,-2202.97503,2.715461299,4.605416757,-5.47903045
2024/3/4 14:56,4541.245275,-3731.129886,-3421.796773,1.401816353,5.942145418,-4.615918983
2024/3/4 15:00,4708.996831,-2187.041626,-4391.777536,-0.012168503,6.846817902,-3.41812071
2024/3/4 15:04,4535.566259,-484.4818127,-5042.663632,-1.424160255,7.254885781,-1.973003794
2024/3/4 15:08,4033.705768,1253.170003,-5327.367687,-2.732581506,7.13753448,-0.385075805
2024/3/4 15:12,3239.770498,2900.077231,-5225.223612,-3.843428413,6.503196102,1.231238801
2024/3/4 15:16,2211.123859,4336.85832,-4743.438716,-4.676625994,5.396916324,2.75942369
2024/3/4 15:20,1022.121661,5459.064636,-3916.645359,-5.171477143,3.897452904,4.088746789
2024/3/4 15:24,-241.0976759,6184.732101,-2804.582222,-5.29114619,2.112426374,5.121996372
2024/3/4 15:28,-1486.753273,6460.494955,-1487.955689,-5.025827506,0.171150521,5.782790076
2024/3/4 15:32,-2624.10491,6265.729227,-62.67778765,-4.394057556,-1.784509272,6.021703015
