t,x,y,z,u,v,w
2023/11/1 12:00,-4153.560802,-3714.323984,-3896.494045,5.997291425,-2.409980644,-4.100144685
2023/11/1 12:04,-2581.079825,-4151.078613,-4726.935334,7.02676435,-1.207757634,-2.778261822
2023/11/1 12:08,-821.6025617,-4287.139938,-5213.998517,7.546360576,0.080626484,-1.256069017
2023/11/1 12:12,997.3570963,-4112.89877,-5322.600802,7.519553431,1.362522725,0.356512986
2023/11/1 12:16,2744.136567,-3641.019957,-5044.926253,6.94844781,2.546009911,1.94347678
2023/11/1 12:20,4292.210446,-2905.527119,-4400.951501,5.873530247,3.546008272,3.390512718
2023/11/1 12:24,5529.160549,-1959.45742,-3437.1081,4.371276015,4.290090382,4.592769766
2023/11/1 12:28,6364.778332,-871.1815341,-2223.101981,2.549283367,4.723689458,5.462309951
2023/11/1 12:32,6737.73618,280.4079827,-847.0551112,0.539292882,4.814311079,5.934621858
2023/11/1 12:36,6620.319473,1411.580166,590.7991095,-1.51205651,4.554463897,5.974042907
2023/11/1 12:40,6020.698533,2439.928533,1985.481898,-3.454309423,3.962669705,5.577014655
2023/11/1 12:44,4982.429752,3290.506836,3235.086769,-5.144959624,3.082160858,4.772514674
2023/11/1 12:48,3581.212872,3901.387773,4248.356787,-6.460365589,1.977470157,3.619713706
2023/11/1 12:52,1919.217408,4228.187522,4951.39978,-7.304896906,0.729306122,2.203175332
2023/11/1 12:56,117.5199229,4247.233269,5293.027676,-7.61750693,-0.571505416,0.626353015
2023/11/1 13:00,-1692.730831,3957.214276,5248.401521,-7.37577122,-1.830558525,-0.995965128
2023/11/1 13:04,-3379.800292,3379.233445,4820.769584,-6.597208999,-2.956576274,-2.545880736
2023/11/1 13:08,-4820.848996,2555.285861,4041.239242,-5.338048905,-3.867757171,-3.910488751
2023/11/1 13:12,-5910.841399,1545.271573,2966.595301,-3.689589617,-4.497600217,-4.990029147
2023/11/1 13:16,-6570.268279,422.7027495,1675.241767,-1.772011291,-4.799936278,-5.705261828
2023/11/1 13:20,-6751.080462,-730.6560483,261.4994591,0.274319283,-4.752624293,-6.0036619
2023/11/1 13:24,-6440.305433,-1830.81766,-1171.352598,2.299335825,-4.359433712,-5.863624297
2023/11/1 13:28,-5660.990371,-2797.801977,-2518.765489,4.154908154,-3.649744724,-5.296213756
2023/11/1 13:32,-4470.354536,-3561.527579,-3682.676879,5.706201879,-2.676090827,-4.344005061
2023/11/1 13:36,-2955.369685,-4066.880697,-4578.671705,6.841578054,-1.509821045,-3.077338139
2023/11/1 13:40,-1226.235306,-4277.585315,-5141.999685,7.480185362,-0.235582623,-1.588683647
2023/11/1 13:44,591.6777886,-4178.65973,-5332.071129,7.577058749,1.054887137,0.014320423
2023/11/1 13:48,2366.779312,-3777.357184,-5135.204017,7.125556881,2.269063372,1.616346868
2023/11/1 13:52,3970.53562,-3102.618143,-4565.548725,6.157668277,3.319756146,3.102085181
2023/11/1 13:56,5286.558748,-2203.075088,-3664.146944,4.742109117,4.130997163,4.36403725
2023/11/1 14:00,6218.966719,-1143.698624,-2496.146636,2.980156027,4.64346312,5.310040939
2023/11/1 14:04,6699.449322,-1.228674037,-1146.267691,0.998970845,4.819048255,5.870222206
2023/11/1 14:08,6692.449635,1141.324973,287.2412003,-1.057273683,4.644012626,6.002477779
2023/11/1 14:12,6198.024826,2200.753851,1699.754734,-3.037862158,4.130531313,5.696249
2023/11/1 14:16,5252.006376,3099.837554,2988.057337,-4.79738419,3.316015039,4.973763582
2023/11/1 14:20,3923.342273,3773.082775,4058.036642,-6.207011706,2.26011888,3.888122681
2023/11/1 14:24,2308.936577,4171.534942,4831.628526,-7.164063953,1.040113677,2.519068101
2023/11/1 14:28,526.4376132,4266.306598,5252.489076,-7.599316005,-0.255106313,0.966693605
2023/11/1 14:32,-1294.380001,4050.590773,5290.00608,-7.48146542,-1.531536943,-0.655955121
2023/11/1 14:36,-3020.997847,3540.098825,4941.459535,-6.819088854,-2.696614405,-2.230860088
2023/11/1 14:40,-4527.713775,2771.927294,4232.211555,-5.660059535,-3.665761863,-3.64341437
