t,x,y,z,u,v,w
2024/10/5 12:02,4269.327029,-5296.370174,-40.85327573,3.672710842,2.992781834,-6.012787225
2024/10/5 12:06,4985.215552,-4394.662292,-1464.894287,2.257020845,4.4753571,-5.781799672
2024/10/5 12:10,5339.7519,-3174.368863,-2782.462619,0.679889543,5.631625142,-5.131149235
2024/10/5 12:14,5307.811694,-1724.286339,-3898.080345,-0.944051079,6.37885118,-4.109309983
2024/10/5 12:18,4892.244107,-149.5492977,-4731.166496,-2.497730794,6.664334813,-2.791102375
2024/10/5 12:22,4123.456312,1436.003088,-5221.691892,-3.869911392,6.468560883,-1.271885803
2024/10/5 12:26,3057.092649,2917.92422,-5334.299642,-4.962682374,5.805930931,0.339277707
2024/10/5 12:30,1770.045405,4189.182494,-5060.713554,-5.697826869,4.723453292,1.927043819
2024/10/5 12:34,355.0977058,5157.654802,-4420.340187,-6.021907908,3.29772223,3.37733767
2024/10/5 12:38,-1085.523122,5752.6954,-3459.044581,-5.910190483,1.630186178,4.585017589
2024/10/5 12:42,-2447.349506,5930.356655,-2246.102371,-5.36897737,-0.159346138,5.461343516
2024/10/5 12:46,-3631.210651,5676.850793,-869.4239867,-4.43598315,-1.940838252,5.940837038
2024/10/5 12:50,-4550.574511,5009.87557,570.734117,-3.178234216,-3.583622804,5.986842501
2024/10/5 12:54,-5138.078327,3977.566151,1969.133375,-1.687525741,-4.966387919,5.594882144
2024/10/5 12:58,-5350.69058,2655.046616,3223.441754,-0.073412874,-5.987098028,4.793496376
2024/10/5 13:02,-5172.926551,1138.804646,4241.910778,1.545574823,-6.570833859,3.641719633
2024/10/5 13:06,-4617.931519,-460.5079072,4950.172897,3.050899509,-6.675188545,2.224408614
2024/10/5 13:10,-3726.409554,-2026.279574,5296.680142,4.332858948,-6.293160786,0.645637431
2024/10/5 13:14,-2563.523942,-3444.505532,5256.381286,5.298539146,-5.453243714,-0.979254209
2024/10/5 13:18,-1214.066663,-4612.04573,4832.428711,5.878209401,-4.216904136,-2.531944692
2024/10/5 13:22,223.7098939,-5444.050453,4055.897594,6.030092793,-2.674200184,-3.89945819
2024/10/5 13:26,1645.208464,-5880.097812,2983.525398,5.743430032,-0.937435219,-4.982200912
2024/10/5 13:30,2947.086789,-5888.614204,1693.607469,5.039428303,0.866725866,-5.701263985
2024/10/5 13:34,4034.823811,-5469.223986,280.2644323,3.969945818,2.606629294,-6.00453487
2024/10/5 13:38,4829.652336,-4652.746975,-1153.503979,2.613563494,4.155578935,-5.870576562
2024/10/5 13:42,5274.298404,-3498.869126,-2503.415897,1.069671155,5.401265183,-5.310213561
2024/10/5 13:46,5337.077784,-2091.631119,-3671.578615,-0.549279276,6.254282848,-4.365423573
2024/10/5 13:50,5014.006786,-533.1458937,-4573.560888,-2.126334839,6.65424922,-3.105636579
2024/10/5 13:54,4328.863511,1063.86058,-5144.350054,-3.548446176,6.573507076,-1.622189874
2024/10/5 13:58,3331.31838,2584.098464,-5342.827807,-4.714095747,6.018389028,-0.021704423
2024/10/5 14:02,2093.342971,3917.81704,-5154.572962,-5.539974064,5.028413899,1.581211677
2024/10/5 14:06,704.1614889,4968.478255,-4592.870614,-5.966400028,3.673585689,3.071560667
2024/10/5 14:10,-735.9375128,5659.593419,-3697.890685,-5.961456879,2.050123935,4.341569297
2024/10/5 14:14,-2122.634728,5940.321334,-2534.041771,-5.523781345,0.274372601,5.298254861
2024/10/5 14:18,-3355.05685,5789.393692,-1185.563313,-4.683421905,-1.525001971,5.870434657
2024/10/5 14:22,-4343.198957,5216.989826,249.4437694,-3.500459111,-3.216249665,6.014643317
2024/10/5 14:26,-5014.700689,4264.260639,1666.196033,-2.060948901,-4.6747282,5.71909139
2024/10/5 14:30,-5320.349356,3000.431575,2961.033987,-0.470506617,-5.792675812,5.004935598
2024/10/5 14:34,-5237.818204,1517.686239,4039.215112,1.153934066,-6.487820781,3.924812464
2024/10/5 14:38,-4773.28256,-75.75988684,4821.980701,2.693332798,-6.709607432,2.558347643
2024/10/5 14:42,-3960.840187,-1663.709499,5252.305367,4.035454624,-6.442394262,1.005871533
2024/10/5 14:46,-2859.900378,-3130.500309,5298.988813,5.082858907,-5.706215687,-0.619067209
2024/10/5 14:50,-1550.775736,-4369.418108,4958.840613,5.759819777,-4.555100425,-2.198034037
2024/10/5 14:54,-128.8099816,-5290.398985,4256.832503,6.017512252,-3.07292777,-3.616139449
2024/10/5 14:58,1302.524097,-5826.528756,3244.277201,5.837446192,-1.367626907,-4.770097188
2024/10/5 15:02,2639.130984,-5938.93918,1995.113961,5.233015756,0.436439945,-5.575813328
2024/10/5 15:06,3783.910535,-5619.675177,600.5126955,4.248767198,2.207612814,-5.974722117
2024/10/5 15:10,4653.889816,-4892.28288,-837.8447088,2.957150164,3.816731808,-5.938362972
2024/10/5 15:14,5186.293078,-3810.004381,-2215.289114,1.45291811,5.147051948,-5.470410136
2024/10/5 15:18,5343.042367,-2451.736114,-3431.85599,-0.154194508,6.102833164,-4.606097609
2024/10/5 15:22,5113.362966,-916.1281522,-4399.545148,-1.74783377,6.616151538,-3.409181698
2024/10/5 15:26,4514.341379,685.6685727,-5048.573971,-3.213562053,6.65125976,-1.966712603
2024/10/5 15:30,3589.503582,2237.987009,-5332.204199,-4.446719584,6.206374663,-0.382528043
2024/10/5 15:34,2405.624412,3628.789343,-5229.922096,-5.359272339,5.313305369,1.22990596
2024/10/5 15:38,1048.029407,4757.499908,-4748.848193,-5.885518947,4.035236146,2.755035688
2024/10/5 15:42,-385.3307328,5542.091752,-3923.328651,-5.98659388,2.462765089,4.082809504
2024/10/5 15:46,-1790.72303,5925.029928,-2812.695676,-5.653564451,0.708312835,5.116315146
2024/10/5 15:50,-3066.022925,5877.652892,-1497.235784,-4.908826781,-1.101320791,5.778981522
2024/10/5 15:54,-4118.180298,5402.566958,-72.54016072,-3.805261405,-2.833967558,6.020745216
2024/10/5 15:58,-4870.188924,4533.753227,1357.434342,-2.422918616,-4.362052717,5.822526358
2024/10/5 16:02,-5266.945555,3334.235994,2688.099118,-0.863077231,-5.572752604,5.198213449
2024/10/5 16:06,-5279.422014,1891.443507,3822.078091,0.759658098,-6.376833303,4.193624179
2024/10/5 16:10,-4906.81825,310.6803696,4676.48566,2.326197331,-6.715520097,2.882870293
2024/10/5 16:14,-4176.528431,-1292.745373,5189.034653,3.722163286,-6.564648551,1.362349369
2024/10/5 16:18,-3141.987123,-2802.022629,5322.513258,4.846205278,-5.935828649,-0.256695139
2024/10/5 16:22,-1878.684891,-4107.315642,5067.386496,5.616926525,-4.875216701,-1.856222177
2024/10/5 16:26,-478.6606833,-5113.706644,4442.432767,5.978662657,-3.460211447,-3.319759667
2024/10/5 16:30,956.1873796,-5748.057468,3493.353397,5.905389516,-1.793837554,-4.540746267
2024/10/5 16:34,2321.487966,-5964.330597,2289.462354,5.402697667,0.002435951,-5.430195423
2024/10/5 16:38,3518.01558,-5746.984685,918.6417059,4.50764464,1.797504383,-5.923352849
2024/10/5 16:42,4458.976236,-5112.133419,-519.1196516,3.286136461,3.4603543,-5.984747628
2024/10/5 16:46,5076.3794,-4106.309808,-1919.131215,1.827917967,4.870151587,-5.61088636
2024/10/5 16:50,5325.939754,-2802.911,-3179.717625,0.239523406,5.925212228,-4.8301704
2024/10/5 16:54,5190.154012,-1296.690744,-4209.622074,-1.363826322,6.55029694,-3.700395062
2024/10/5 16:58,4679.356506,303.237347,-4934.526338,-2.866774911,6.701590978,-2.30397279
2024/10/5 17:02,3830.770387,1881.280933,-5302.227255,-4.161876849,6.369125473,-0.741653601
2024/10/5 17:06,2705.730938,3323.550768,-5286.19607,-5.156742004,5.576899632,0.874590259
2024/10/5 17:10,1385.334295,4525.822007,-4887.37949,-5.779971913,4.381002324,2.429017514
2024/10/5 17:14,-35.19626363,5400.84942,-4134.195398,-5.985936498,2.866108398,3.809727321
2024/10/5 17:18,-1453.136874,5884.633059,-3080.698438,-5.758222264,1.14025573,4.916217149
2024/10/5 17:22,-2765.546084,5941.229767,-1802.954774,-5.111585159,-0.672119128,5.666764391
2024/10/5 17:26,-3876.75549,5565.665202,-393.7187633,-4.091615724,-2.438950287,6.004984873
2024/10/5 17:30,-4705.48685,4784.600227,1044.263422,-2.771986238,-4.030361443,5.904630095
2024/10/5 17:34,-5191.018568,3654.586194,2405.85232,-1.249244757,-5.328825961,5.372225314
2024/10/5 17:38,-5297.809902,2257.937258,3591.407675,0.364707225,-6.238604132,4.446756147
2024/10/5 17:42,-5018.144845,696.5713866,4514.244502,1.951419912,-6.693075416,3.196448394
2024/10/5 17:46,-4372.619999,-915.5918254,5107.032181,3.394862076,-6.65942524,1.713318789
2024/10/5 17:50,-3408.520765,-2461.061601,5326.686075,4.590059056,-6.140811113,0.106078629
2024/10/5 17:54,-2196.233044,-3827.355955,5157.396868,5.450549123,-5.175463184,-1.508065625
2024/10/5 17:58,-824.0896509,-4915.104772,4611.68314,5.914100678,-3.833793006,-3.011622725
2024/10/5 18:02,608.0187709,-5645.234973,3729.469868,5.947252666,-2.213534625,-4.295075721
2024/10/5 18:06,1995.902239,-5964.727407,2575.198999,5.547856164,-0.43276072,-5.264894098
2024/10/5 18:10,3238.663304,-5850.50845,1233.139112,4.745377022,1.378575385,-5.850433922
