t,x,y,z,u,v,w
2024/9/5 20:16,-4228.776651,1495.167143,-5109.692993,-0.614482809,-7.446113933,-1.662388975
2024/9/5 20:20,-4221.345696,-324.4172394,-5318.277718,0.676083422,-7.624912741,-0.065154479
2024/9/5 20:24,-3908.133551,-2120.492952,-5140.524065,1.918298977,-7.251302365,1.537600145
2024/9/5 20:28,-3311.622485,-3762.836906,-4589.073129,3.022570736,-6.351393381,3.030052732
2024/9/5 20:32,-2474.792921,-5132.082237,-3703.645013,3.908690885,-4.989128377,4.303685374
2024/9/5 20:36,-1458.150727,-6128.387074,-2548.340953,4.511742249,-3.262391333,5.265109192
2024/9/5 20:40,-335.4408547,-6678.844341,-1207.133624,4.78704805,-1.296460708,5.843212711
2024/9/5 20:44,811.6877102,-6743.032951,222.2043688,4.713915935,0.764907098,5.994921058
2024/9/5 20:48,1899.711359,-6316.170772,1635.318973,4.297552483,2.77039616,5.708863904
2024/9/5 20:52,2849.456974,-5429.525323,2929.066083,3.56876822,4.572891008,5.006434869
2024/9/5 20:56,3591.984667,-4148.003167,4009.208431,2.58141756,6.040991328,3.93990238
2024/9/5 21:00,4073.613347,-2565.169507,4797.330169,1.407953345,7.068690877,2.5879326
2024/9/5 21:04,4259.730197,-796.2321012,5236.456291,0.133805878,7.582645709,1.049391922
2024/9/5 21:08,4137.148215,1030.416361,5295.03014,-1.148980513,7.546864416,-0.564090039
2024/9/5 21:12,3714.928464,2782.438758,4969.023652,-2.348111743,6.964583468,-2.136043181
2024/9/5 21:16,3023.678522,4332.962456,4282.153649,-3.377347035,5.877836079,-3.553060351
2024/9/5 21:20,2113.384795,5569.601602,3284.202496,-4.162369829,4.364656178,-4.712586972
2024/9/5 21:24,1049.9073,6402.545138,2047.534305,-4.646046609,2.534120504,-5.530159027
2024/9/5 21:28,-89.707357,6771.167819,661.9563435,-4.792921224,0.518914093,-5.94584023
2024/9/5 21:32,-1222.810074,6648.575629,-771.7818775,-4.592094459,-1.534293593,-5.929003739
2024/9/5 21:36,-2267.203579,6043.663164,-2149.375544,-4.058224857,-3.475833267,-5.480865698
2024/9/5 21:40,-3147.183926,5000.459777,-3370.654961,-3.230393234,-5.164460899,-4.634422791
2024/9/5 21:44,-3799.058404,3594.811827,-4346.930006,-2.168949514,-6.477894812,-3.451686419
2024/9/5 21:48,-4175.721888,1928.744368,-5007.403154,-0.950894355,-7.321548159,-2.01877314
2024/9/5 21:52,-4249.974578,122.9953366,-5304.195513,0.335914077,-7.634888725,-0.439383993
2024/9/5 21:56,-4016.394075,-1691.654496,-5215.698402,1.59888837,-7.395199305,1.172534863
2024/9/5 22:00,-3491.717465,-3383.68068,-4748.104684,2.747010327,-6.619053543,2.700566768
2024/9/5 22:04,-2713.709609,-4830.187847,-3935.045241,3.697086241,-5.361435594,4.033810296
2024/9/5 22:08,-1738.568735,-5925.779633,-2835.316432,4.379637028,-3.712427073,5.074735246
2024/9/5 22:12,-636.9875841,-6590.338437,-1528.783716,4.744179732,-1.791444294,5.746428365
2024/9/5 22:16,510.9526199,-6775.114396,-110.6520436,4.763519503,0.261176572,5.998904968
2024/9/5 22:20,1621.685062,-6466.491976,1315.55763,4.436019038,2.294862154,5.813323084
2024/9/5 22:24,2614.364747,-5687.068694,2645.725104,3.785860206,4.160384987,5.203575356
2024/9/5 22:28,3416.878377,-4493.925037,3782.900227,2.861125311,5.721475122,4.215085611
2024/9/5 22:32,3971.140346,-2974.240918,4644.454782,1.729821191,6.865112849,2.92093308
2024/9/5 22:36,4237.246495,-1238.712308,5168.042261,0.474468631,7.509456834,1.415940578
2024/9/5 22:40,4196.224729,586.6165397,5315.970254,-0.814081132,7.609090951,-0.190527812
2024/9/5 22:44,3851.264165,2369.458145,5077.761792,-2.043068797,7.157624957,-1.78237996
2024/9/5 22:48,3227.415752,3980.709718,4470.805932,-3.12410456,6.187812667,-3.244810023
2024/9/5 22:52,2369.808969,5303.629004,3539.108548,-3.979240391,4.769339442,-4.472096543
2024/9/5 22:56,1340.469997,6242.200521,2350.214913,-4.546449055,3.004328297,-5.374982046
2024/9/5 23:00,213.9305348,6728.156818,990.4281834,-4.784243075,1.020502015,-5.887427071
2024/9/5 23:04,-928.1345775,6726.057929,-441.4080064,-4.675000461,-1.037912743,-5.971660944
2024/9/5 23:08,-2002.874879,6236.015737,-1841.127981,-4.226655229,-3.020815573,-5.621456046
2024/9/5 23:12,-2932.366979,5293.69938,-3106.936015,-3.472033833,-4.783867993,-4.862622679
2024/9/5 23:16,-3649.306672,3967.641929,-4146.88198,-2.466214607,-6.199249385,-3.750831615
2024/9/5 23:20,-4101.864892,2354.125046,-4885.530212,-1.282244614,-7.164908298,-2.367120315
2024/9/5 23:24,-4257.355925,570.113194,-5269.335088,-0.005633271,-7.611483792,-0.811753501
2024/9/5 23:28,-4104.507102,-1255.182171,-5270.409842,1.271743867,-7.506807749,0.802992942
2024/9/5 23:32,-3654.23246,-2989.506581,-4888.481371,2.457908297,-6.857836052,2.360577341
2024/9/5 23:36,-2938.90702,-4506.96823,-4150.967605,3.467034417,-5.710391534,3.748114374
2024/9/5 23:40,-2010.155165,-5697.093606,-3111.146178,4.225514116,-4.146477795,4.864293754
2024/9/5 23:44,-935.2427859,-6472.934151,-1844.464694,4.67745978,-2.279054043,5.626859488
2024/9/5 23:48,207.7410176,-6777.611377,-443.1573128,4.789185106,-0.244227578,5.979145059
2024/9/5 23:52,1335.591833,-6588.709236,990.5071472,4.5521182,1.808728054,5.894808368
2024/9/5 23:56,2366.195685,-5920.06144,2351.845089,3.983848796,3.729051042,5.380228979
2024/9/6 0:00,3224.651987,-4820.658912,3541.59216,3.126446898,5.376396014,4.473807497
2024/9/6 0:04,3848.764291,-3370.872893,4473.230745,2.043010774,6.631213403,3.242644785
2024/9/6 0:08,4193.522337,-1676.384771,5079.271364,0.812727123,7.403375174,1.777149042
2024/9/6 0:12,4234.253487,139.6595002,5316.02697,-0.475183995,7.638235646,0.183996312
2024/9/6 0:16,3968.255409,1945.59502,5166.591844,-1.727920319,7.319751101,-1.42160575
2024/9/6 0:20,3414.896123,3610.6338,4641.947677,-2.855399776,6.471207687,-2.923809437
2024/9/6 0:24,2614.220657,5014.161029,3780.156429,-3.776402016,5.153624959,-4.21409558
2024/9/6 0:28,1624.129533,6054.358533,2643.690591,-4.424222627,3.461786433,-5.198759458
2024/9/6 0:32,516.2930155,6655.614269,1315.028713,-4.751582919,1.518030633,-5.805881744
2024/9/6 0:36,-628.9995265,6774.127765,-109.2796938,-4.734405057,-0.536503085,-5.990874798
2024/9/6 0:40,-1728.677706,6401.214188,-1525.635402,-4.373784548,-2.552113082,-5.740012258
2024/9/6 0:44,-2702.990168,5564.015617,-2831.017827,-3.696115524,-4.381925539,-5.071823623
2024/9/6 0:48,-3481.3601,4323.441667,-3930.57879,-2.750933348,-5.893145266,-4.035384481
2024/9/6 0:52,-4007.498594,2769.603174,-4744.539396,-1.60697422,-6.976692955,-2.706354018
2024/9/6 0:56,-4243.400684,1015.170975,-5213.897091,-0.346945713,-7.554690549,-1.181135791
2024/9/6 1:00,-4172.004111,-812.7746468,-5304.586209,0.938383044,-7.585579974,0.430104014
2024/9/6 1:04,-3798.362212,-2581.822857,-5009.870922,2.156540151,-7.066722927,2.011105412
2024/9/6 1:08,-3149.306235,-4163.640624,-4350.854795,3.219537459,-6.034599595,3.447445777
2024/9/6 1:12,-2271.629496,-5443.166857,-3375.088959,4.050016742,-4.562772934,4.634468939
2024/9/6 1:16,-1228.838955,-6327.009564,-2153.300995,4.586945941,-2.757274341,5.484910321
2024/9/6 1:20,-96.63694476,-6750.430716,-774.3858389,4.790434598,-0.749459424,5.935672537
2024/9/6 1:24,1042.598959,-6682.317988,661.0704893,4.645162015,1.313609959,5.953127489
2024/9/6 1:28,2105.921438,-6127.614786,2048.255395,4.161747394,3.280459478,5.535932643
2024/9/6 1:32,3015.994172,-5126.976289,3285.963363,3.376035085,5.006959343,4.71530121
2024/9/6 1:36,3706.828596,-3753.611862,4284.132561,2.346035393,6.367658942,3.552155783
2024/9/6 1:40,4128.545696,-2107.688506,4970.38916,1.147107868,7.264644461,2.132000725
2024/9/6 1:44,4250.874897,-308.8890186,5295.186556,-0.133707018,7.634080845,0.558368183
2024/9/6 1:48,4065.213761,1512.304819,5235.240795,-1.403965133,7.450271151,-1.054751516
2024/9/6 1:52,3585.14449,3223.976488,4795.071035,-2.572302468,6.72693896,-2.590983382
2024/9/6 1:56,2845.42684,4702.142933,4006.630092,-3.554600785,5.51612151,-3.939388082
2024/9/6 2:00,1899.554013,5839.603363,2927.07186,-4.279791591,3.90489383,-5.002142193
2024/9/6 2:04,815.9839158,6553.711416,1634.726127,-4.695024332,2.009628851,-5.701719012
2024/9/6 2:08,-326.7571124,6792.48052,223.4891279,-4.769836571,-0.03207476,-5.986789008
2024/9/6 2:12,-1445.790663,6538.493324,-1204.008113,-4.498665238,-2.071560205,-5.836379592
2024/9/6 2:16,-2459.957492,5810.225478,-2543.934166,-3.901314249,-3.960252714,-5.26153757
2024/9/6 2:20,-3295.768418,4660.675701,-3698.897895,-3.021484276,-5.560877006,-4.304523849
2024/9/6 2:24,-3892.758064,3173.386508,-4585.072242,-1.923271841,-6.757726132,-3.035335622
2024/9/6 2:28,-4207.803858,1456.247618,-5138.219337,-0.68619455,-7.46475459,-1.546169431
