t,x,y,z,u,v,w
2024/8/2 12:00,-1264.027757,6300.004936,2215.027799,-4.540473861,-2.847380853,5.47335735
2024/8/2 12:04,-2294.530929,5395.816275,3431.83954,-3.994601573,-4.641558528,4.604628249
2024/8/2 12:08,-3158.130337,4099.127368,4398.307592,-3.158114649,-6.098192904,3.399951733
2024/8/2 12:12,-3792.003694,2504.26091,5043.926447,-2.091904047,-7.111205887,1.947250866
2024/8/2 12:16,-4150.030695,727.2296522,5321.581045,-0.873390311,-7.60696506,0.352309124
2024/8/2 12:20,-4206.099258,-1102.699428,5210.929592,0.409110535,-7.549276865,-1.2688819
2024/8/2 12:24,-3955.986285,-2852.335998,4719.87186,1.662564316,-6.941835463,-2.798356148
2024/8/2 12:28,-3417.713515,-4394.180566,3884.029399,2.795741069,-5.828144441,-4.124433069
2024/8/2 12:32,-2630.317759,-5615.707647,2764.263375,3.725807537,-4.288817491,-5.149751018
2024/8/2 12:36,-1651.094583,-6427.692584,1442.331417,4.384434701,-2.436274667,-5.798717966
2024/8/2 12:40,-551.4412257,-6770.904246,14.89854583,4.723211278,-0.406501094,-6.023503578
2024/8/2 12:44,588.4253944,-6620.584795,-1413.636989,4.717589079,1.651086242,-5.807987959
2024/8/2 12:48,1685.479951,-5988.256298,-2738.978206,4.368802557,3.585592856,-5.169060402
2024/8/2 12:52,2660.059579,-4920.6626,-3864.691382,3.70339422,5.256261073,-4.154855846
2024/8/2 12:56,3441.681998,-3496.053602,-4709.241322,2.770769194,6.542869964,-2.840502155
2024/8/2 13:00,3974.064862,-1818.220233,-5211.765178,1.639055148,7.35395155,-1.322023434
2024/8/2 13:04,4219.016633,-8.857245411,-5336.250086,0.389954936,7.632537499,0.290785195
2024/8/2 13:08,4159.009929,1801.152385,-5073.915944,-0.886998024,7.359358344,1.882053065
2024/8/2 13:12,3798.355627,3480.950258,-4443.753928,-2.100364327,6.553888407,3.337512417
2024/8/2 13:16,3162.928668,4908.912207,-3491.22048,-3.162902296,5.27323512,4.552145327
2024/8/2 13:20,2298.432412,5981.317942,-2285.128327,-3.9975994,3.608726015,5.437502606
2024/8/2 13:24,1267.254582,6619.91716,-912.8594898,-4.543316436,1.680096508,5.928308844
2024/8/2 13:28,144.0678692,6777.800763,525.8625596,-4.759515674,-0.372741303,5.987716875
2024/8/2 13:32,-989.5746921,6443.058203,1926.235011,-4.629845409,-2.399927789,5.610600484
2024/8/2 13:36,-2051.253585,5639.773357,3186.124655,-4.163449636,-4.253313827,4.824169451
2024/8/2 13:40,-2963.739287,4426.261949,4213.608541,-3.394159405,-5.797537537,3.685757071
2024/8/2 13:44,-3660.648151,2890.777626,4933.725861,-2.377948952,-6.920023931,2.27847193
2024/8/2 13:48,-4091.27704,1145.016375,5293.937233,-1.188679014,-7.539162087,0.70485895
2024/8/2 13:52,-4224.249903,-684.038899,5267.893353,0.087432221,-7.60986039,-0.920681259
2024/8/2 13:56,-4049.763441,-2463.286137,4857.32946,1.3578705,-7.126523563,-2.479882074
2024/8/2 14:00,-3580.334068,-4063.103929,4091.992707,2.530259117,-6.123632836,-3.858974606
2024/8/2 14:04,-2849.966782,-5366.771356,3027.57524,3.518981535,-4.6736366,-4.956821859
2024/8/2 14:08,-1911.775184,-6279.071844,1741.761774,4.25143916,-2.882282147,-5.692519439
2024/8/2 14:12,-834.1431431,-6733.428977,328.5563644,4.673831295,-0.880981683,-6.011874395
2024/8/2 14:16,304.3256863,-6696.909629,-1108.682606,4.755356274,1.183080804,-5.891652329
2024/8/2 14:20,1420.664478,-6172.681068,-2464.965963,4.490707072,3.158274153,-5.341617214
2024/8/2 14:24,2433.739241,-5199.616682,-3641.528922,3.900284175,4.900596274,-4.403408433
2024/8/2 14:28,3270.211228,-3849.153391,-4553.066951,3.028150892,6.284346893,-3.146755916
2024/8/2 14:32,3869.787188,-2219.797015,-5133.819144,1.938216723,7.210887581,-1.66371211
2024/8/2 14:36,4189.418066,-429.8267287,-5342.110525,0.709380266,7.614933999,-0.061706873
2024/8/2 14:40,4206.223122,1391.222525,-5163.140175,-0.570174082,7.468411531,1.544028979
2024/8/2 14:44,3919.010301,3111.709164,-4609.918882,-1.808869249,6.781899267,3.03824131
2024/8/2 14:48,3348.372953,4607.132338,-3722.358105,-2.91776721,5.604047122,4.313284075
2024/8/2 14:52,2535.320636,5768.972205,-2564.543486,-3.816669338,4.018706653,5.276545566
2024/8/2 14:56,1538.478302,6512.556839,-1220.297648,-4.439897975,2.139685758,5.857213968
2024/8/2 15:00,429.970955,6783.380073,212.7607237,-4.741397085,0.103060463,6.011948966
2024/8/2 15:04,-709.7719286,6561.284627,1630.299461,-4.698491842,-1.942782826,5.728544276
2024/8/2 15:08,-1797.898141,5862.107201,2928.945076,-4.313853917,-3.848197874,5.027222352
2024/8/2 15:12,-2755.259014,4736.575844,4013.955754,-3.615442507,-5.473980943,3.959164234
2024/8/2 15:16,-3512.222446,3266.521729,4806.183331,-2.654064784,-6.701680538,2.602297922
2024/8/2 15:20,-4013.719605,1558.85728,5247.824097,-1.499523642,-7.441969493,1.055459498
2024/8/2 15:24,-4223.218443,-262.2108142,5306.59497,-0.235554787,-7.640913558,-0.568807413
2024/8/2 15:28,-4125.358905,-2064.180386,4978.057619,1.046204187,-7.283689717,-2.152397196
2024/8/2 15:32,-3727.079927,-3715.8067,4285.964308,2.252642037,-6.395577949,-3.579854738
2024/8/2 15:36,-3057.191281,-5096.613532,3280.63725,3.295709839,-5.04058743,-4.746567867
2024/8/2 15:40,-2164.377751,-6105.755586,2035.412557,4.098878981,-3.317368555,-5.566622594
2024/8/2 15:44,-1113.705996,-6669.551392,641.3122222,4.603089116,-1.352273751,-5.97953082
2024/8/2 15:48,18.17516698,-6747.04224,-799.6923953,4.771521791,0.710146308,-5.955166257
2024/8/2 15:52,1148.752104,-6333.027774,-2182.303723,4.592419788,2.718390062,-5.496094338
2024/8/2 15:56,2195.793815,-5458.33266,-3405.75482,4.079854183,4.525705664,-4.637217361
2024/8/2 16:00,3083.426629,-4187.292745,-4381.246212,3.272299404,6.001331541,-3.442613095
2024/8/2 16:04,3747.609335,-2612.751021,-5038.32891,2.229188377,7.039818327,-2.000072988
2024/8/2 16:08,4140.618888,-849.1164753,-5329.798511,1.026211518,7.5678249,-0.414315836
2024/8/2 16:12,4234.30647,975.9160954,-5234.872604,-0.250157533,7.548511564,1.200482358
2024/8/2 16:16,4021.982855,2730.415251,-4760.53228,-1.508570939,6.983560787,2.728417018
2024/8/2 16:20,3518.864717,4287.479494,-3941.011769,-2.65882,5.913002549,4.059558572
