Time,NADH,ATP
501.77,1.081373133,2.056893912
501.78,1.081349626,2.056901222
501.79,1.081325466,2.056908734
501.8,1.081300664,2.056916446
501.81,1.081275233,2.056924353
501.82,1.081249184,2.056932453
501.83,1.081222527,2.05694074
501.84,1.081195275,2.056949213
501.85,1.081167439,2.056957867
501.86,1.08113903,2.056966699
501.87,1.081110059,2.056975705
501.88,1.081080539,2.056984881
501.89,1.08105048,2.056994225
501.9,1.081019894,2.057003733
501.91,1.080988792,2.0570134
501.92,1.080957186,2.057023224
501.93,1.080925087,2.057033201
501.94,1.080892506,2.057043328
501.95,1.080859456,2.0570536
501.96,1.080825947,2.057064015
501.97,1.08079199,2.057074569
501.98,1.080757598,2.057085257
501.99,1.080722781,2.057096078
502,1.080687551,2.057107026
502.01,1.08065192,2.0571181
502.02,1.080615898,2.057129294
502.03,1.080579498,2.057140606
502.04,1.08054273,2.057152032
502.05,1.080505606,2.057163568
502.06,1.080468138,2.057175211
502.07,1.080430336,2.057186958
502.08,1.080392213,2.057198804
502.09,1.080353779,2.057210746
502.1,1.080315047,2.057222782
502.11,1.080276027,2.057234906
502.12,1.080236731,2.057247116
502.13,1.08019717,2.057259408
502.14,1.080157356,2.057271779
502.15,1.080117299,2.057284224
502.16,1.080077013,2.057296741
502.17,1.080036507,2.057309326
502.18,1.079995794,2.057321975
502.19,1.079954885,2.057334685
502.2,1.079913791,2.057347452
502.21,1.079872523,2.057360273
502.22,1.079831093,2.057373144
502.23,1.079789513,2.057386062
502.24,1.079747793,2.057399023
502.25,1.079705946,2.057412023
502.26,1.079663983,2.057425059
502.27,1.079621914,2.057438128
502.28,1.079579752,2.057451225
502.29,1.079537508,2.057464348
502.3,1.079495193,2.057477493
502.31,1.079452818,2.057490656
502.32,1.079410396,2.057503833
502.33,1.079367937,2.057517022
502.34,1.079325454,2.057530218
502.35,1.079282956,2.057543419
502.36,1.079240456,2.05755662
502.37,1.079197966,2.057569818
502.38,1.079155496,2.057583009
502.39,1.079113058,2.05759619
502.4,1.079070663,2.057609358
502.41,1.079028323,2.057622508
502.42,1.07898605,2.057635637
502.43,1.078943853,2.057648743
502.44,1.078901746,2.05766182
502.45,1.07885974,2.057674866
502.46,1.078817845,2.057687877
502.47,1.078776073,2.05770085
502.48,1.078734436,2.05771378
502.49,1.078692946,2.057726665
502.5,1.078651612,2.057739501
502.51,1.078610448,2.057752284
502.52,1.078569463,2.057765011
502.53,1.078528671,2.057777678
502.54,1.078488082,2.057790282
502.55,1.078447707,2.057802819
502.56,1.078407558,2.057815285
502.57,1.078367646,2.057827678
502.58,1.078327984,2.057839993
502.59,1.078288581,2.057852227
502.6,1.07824945,2.057864376
502.61,1.078210602,2.057876438
502.62,1.078172048,2.057888407
502.63,1.0781338,2.057900282
502.64,1.07809587,2.057912058
502.65,1.078058268,2.057923731
502.66,1.078021006,2.057935298
502.67,1.077984095,2.057946756
502.68,1.077947548,2.057958102
502.69,1.077911374,2.05796933
502.7,1.077875586,2.057980439
502.71,1.077840196,2.057991424
502.72,1.077805214,2.058002282
502.73,1.077770651,2.058013009
502.74,1.077736521,2.058023602
502.75,1.077702832,2.058034057
502.76,1.077669598,2.058044371
502.77,1.07763683,2.05805454
502.78,1.077604538,2.058064561
502.79,1.077572735,2.058074429
502.8,1.077541432,2.058084142
502.81,1.07751064,2.058093696
502.82,1.07748037,2.058103088
502.83,1.077450635,2.058112313
502.84,1.077421444,2.058121369
502.85,1.077392811,2.058130251
502.86,1.077364746,2.058138957
502.87,1.077337261,2.058147483
502.88,1.077310366,2.058155824
502.89,1.077284074,2.058163978
502.9,1.077258396,2.058171941
502.91,1.077233344,2.05817971
502.92,1.077208928,2.05818728
502.93,1.07718516,2.058194649
502.94,1.07716202,2.058203289
502.95,1.077121961,2.058232059
502.96,1.07708076,2.058261648
502.97,1.077038434,2.058292041
502.98,1.076995006,2.058323224
502.99,1.076950493,2.058355183
503,1.076904916,2.058387905
503.01,1.076858296,2.058421373
503.02,1.076810651,2.058455576
503.03,1.076762001,2.058490498
503.04,1.076712366,2.058526124
503.05,1.076661766,2.058562442
503.06,1.076610221,2.058599437
503.07,1.07655775,2.058637094
503.08,1.076504374,2.0586754
503.09,1.076450112,2.058714339
503.1,1.076394983,2.058753899
503.11,1.076339008,2.058794065
503.12,1.076282206,2.058834822
503.13,1.076224597,2.058876157
503.14,1.076166202,2.058918055
503.15,1.076107039,2.058960502
503.16,1.076047128,2.059003485
503.17,1.07598649,2.059046987
503.18,1.075925143,2.059090997
503.19,1.075863109,2.059135499
503.2,1.075800406,2.059180479
503.21,1.075737054,2.059225923
503.22,1.075673074,2.059271817
503.23,1.075608484,2.059318147
503.24,1.075543305,2.059364898
503.25,1.075477557,2.059412056
503.26,1.075411258,2.059459608
503.27,1.07534443,2.059507538
503.28,1.075277091,2.059555833
503.29,1.075209263,2.059604479
503.3,1.075140963,2.059653461
503.31,1.075072212,2.059702766
503.32,1.075003031,2.059752378
503.33,1.074933438,2.059802284
503.34,1.074863453,2.05985247
503.35,1.074793097,2.059902921
503.36,1.074722389,2.059953623
503.37,1.074651349,2.060004563
503.38,1.074579996,2.060055726
503.39,1.07450835,2.060107097
503.4,1.074436432,2.060158663
503.41,1.07436426,2.060210409
503.42,1.074291855,2.060262321
503.43,1.074219237,2.060314385
503.44,1.074146425,2.060366588
503.45,1.074073438,2.060418913
503.46,1.074000298,2.060471349
503.47,1.073927023,2.060523879
503.48,1.073853633,2.060576491
503.49,1.073780149,2.060629169
503.5,1.07370659,2.0606819
503.51,1.073632975,2.06073467
503.52,1.073559324,2.060787464
503.53,1.073485658,2.060840268
503.54,1.073411996,2.060893068
503.55,1.073338357,2.06094585
503.56,1.073264762,2.0609986
503.57,1.073191231,2.061051303
503.58,1.073117783,2.061103945
503.59,1.073044437,2.061156513
503.6,1.072971214,2.061208991
503.61,1.072898134,2.061261366
503.62,1.072825215,2.061313623
503.63,1.072752479,2.061365749
503.64,1.072679945,2.061417729
503.65,1.072607632,2.061469549
503.66,1.07253556,2.061521195
503.67,1.07246375,2.061572652
503.68,1.07239222,2.061623907
503.69,1.072320991,2.061674945
503.7,1.072250083,2.061725752
503.71,1.072179515,2.061776313
503.72,1.072109306,2.061826616
503.73,1.072039478,2.061876645
503.74,1.071970049,2.061926387
503.75,1.071901039,2.061975826
503.76,1.071832469,2.06202495
503.77,1.071764357,2.062073743
503.78,1.071696724,2.062122192
503.79,1.07162959,2.062170282
503.8,1.071562973,2.062217999
503.81,1.071496895,2.06226533
503.82,1.071431375,2.062312259
503.83,1.071366432,2.062358773
503.84,1.071302086,2.062404858
503.85,1.071238357,2.062450499
503.86,1.071175266,2.062495682
503.87,1.071112831,2.062540393
503.88,1.071051072,2.062584617
503.89,1.07099001,2.062628341
503.9,1.070929663,2.062671551
503.91,1.070870053,2.062714232
503.92,1.070811198,2.06275637
503.93,1.070753118,2.06279795
503.94,1.070695833,2.06283896
503.95,1.070639364,2.062879384
503.96,1.070583728,2.062919208
503.97,1.070528948,2.062958418
503.98,1.070475041,2.062997
503.99,1.070422029,2.06303494
504,1.07036993,2.063072224
504.01,1.070318765,2.063108837
504.02,1.070268553,2.063144765
504.03,1.070219314,2.063179994
504.04,1.070171069,2.06321451
504.05,1.070123835,2.063248298
504.06,1.070077635,2.063281345
504.07,1.070032486,2.063313636
504.08,1.069988409,2.063345158
504.09,1.069945425,2.063375895
504.1,1.069903551,2.063405834
504.11,1.069862809,2.063434961
504.12,1.06982303,2.063459924
504.13,1.069782511,2.063481765
504.14,1.069740856,2.063504216
504.15,1.069698086,2.063527266
504.16,1.069654221,2.063550903
504.17,1.06960928,2.063575119
504.18,1.069563282,2.063599901
504.19,1.069516249,2.063625239
504.2,1.069468199,2.063651123
504.21,1.069419152,2.063677542
504.22,1.069369128,2.063704485
504.23,1.069318147,2.063731942
504.24,1.069266228,2.063759902
504.25,1.069213392,2.063788354
504.26,1.069159658,2.063817288
504.27,1.069105047,2.063846693
504.28,1.069049576,2.063876558
504.29,1.068993268,2.063906874
504.3,1.06893614,2.063937628
504.31,1.068878214,2.063968811
504.32,1.068819508,2.064000412
504.33,1.068760043,2.064032421
504.34,1.068699839,2.064064826
504.35,1.068638914,2.064097617
504.36,1.06857729,2.064130783
504.37,1.068514985,2.064164314
504.38,1.068452019,2.0641982
504.39,1.068388413,2.064232428
504.4,1.068324186,2.06426699
504.41,1.068259358,2.064301874
504.42,1.068193949,2.064337069
504.43,1.068127977,2.064372565
504.44,1.068061464,2.064408352
504.45,1.067994429,2.064444418
504.46,1.067926892,2.064480753
504.47,1.067858872,2.064517347
504.48,1.067790389,2.064554188
504.49,1.067721464,2.064591266
504.5,1.067652115,2.064628571
504.51,1.067582363,2.064666092
504.52,1.067512227,2.064703817
504.53,1.067441727,2.064741738
504.54,1.067370883,2.064779842
504.55,1.067299715,2.064818119
504.56,1.067228243,2.06485656
504.57,1.067156485,2.064895152
504.58,1.067084463,2.064933885
504.59,1.067012196,2.064972749
504.6,1.066939703,2.065011734
504.61,1.066867004,2.065050828
504.62,1.06679412,2.06509002
504.63,1.06672107,2.065129301
504.64,1.066647873,2.065168659
504.65,1.06657455,2.065208084
504.66,1.06650112,2.065247566
504.67,1.066427603,2.065287093
504.68,1.066354019,2.065326655
504.69,1.066280387,2.065366241
504.7,1.066206728,2.065405841
504.71,1.066133061,2.065445444
504.72,1.066059406,2.06548504
504.73,1.065985783,2.065524617
504.74,1.065912211,2.065564166
504.75,1.06583871,2.065603675
504.76,1.065765301,2.065643134
504.77,1.065692002,2.065682532
504.78,1.065618834,2.065721859
504.79,1.065545816,2.065761104
504.8,1.065472968,2.065800256
504.81,1.065400311,2.065839305
504.82,1.065327863,2.06587824
504.83,1.065255644,2.06591705
504.84,1.065183675,2.065955725
504.85,1.065111975,2.065994255
504.86,1.065040563,2.066032627
504.87,1.06496946,2.066070833
504.88,1.064898686,2.066108861
504.89,1.064828259,2.066146701
504.9,1.064758201,2.066184341
504.91,1.06468853,2.066221772
504.92,1.064619267,2.066258982
504.93,1.064550431,2.066295962
504.94,1.064482042,2.0663327
504.95,1.06441412,2.066369186
